,As Home,As Visitor,Home Score,Visitor Score,Home Team,Visitor,Wins,Score Difference
3869,Big Ten,American,21.0,6.0,Michigan State,South Florida,Big Ten,15.0
3873,ACC,American,41.0,9.0,Louisville,South Florida,ACC,32.0
3874,ACC,American,31.0,8.0,Louisville,South Florida,ACC,23.0
3875,ACC,American,24.0,20.0,Louisville,South Florida,ACC,4.0
3876,ACC,American,21.0,24.0,Louisville,South Florida,American,3.0
3877,ACC,American,27.0,25.0,Louisville,South Florida,ACC,2.0
3878,SEC,American,27.0,9.0,Kentucky,South Florida,SEC,18.0
3879,Big 12,American,13.0,7.0,Kansas,South Florida,Big 12,6.0
3882,ACC,American,7.0,17.0,Florida State,South Florida,American,10.0
3883,C-USA,American,23.0,35.0,Florida Atlantic,South Florida,American,12.0
3884,SEC,American,38.0,14.0,Florida,South Florida,SEC,24.0
3899,Big 12,American,28.0,13.0,Baylor,South Florida,Big 12,15.0
3900,MAC,American,31.0,27.0,Ball State,South Florida,MAC,4.0
3901,SEC,American,23.0,26.0,Auburn,South Florida,American,3.0
3902,Independent,American,0.0,28.0,Army,South Florida,American,28.0
3903,SEC,American,42.0,3.0,Arkansas,South Florida,SEC,39.0
3904,SEC,American,40.0,17.0,Alabama,South Florida,SEC,23.0
3905,Big 12,SEC,45.0,21.0,West Virginia,South Carolina,Big 12,24.0
3906,Big 12,SEC,21.0,16.0,West Virginia,South Carolina,Big 12,5.0
3907,ACC,SEC,6.0,23.0,Wake Forest,South Carolina,SEC,17.0
3908,ACC,SEC,0.0,30.0,Wake Forest,South Carolina,SEC,30.0
3909,ACC,SEC,27.0,27.0,Virginia Tech,South Carolina,SEC,0.0
3910,ACC,SEC,24.0,26.0,Virginia Tech,South Carolina,SEC,2.0
3911,ACC,SEC,24.0,35.0,Virginia Tech,South Carolina,SEC,11.0
3912,ACC,SEC,30.0,20.0,Virginia,South Carolina,ACC,10.0
3913,ACC,SEC,34.0,21.0,Virginia,South Carolina,ACC,13.0
3937,ACC,SEC,42.0,7.0,Pittsburgh,South Carolina,ACC,35.0
3938,Independent,SEC,18.0,17.0,Notre Dame,South Carolina,Independent,1.0
3939,Independent,SEC,32.0,36.0,Notre Dame,South Carolina,SEC,4.0
3940,ACC,SEC,28.0,0.0,North Carolina,South Carolina,ACC,28.0
3941,ACC,SEC,13.0,31.0,North Carolina,South Carolina,SEC,18.0
3942,ACC,SEC,20.0,27.0,North Carolina,South Carolina,SEC,7.0
3943,ACC,SEC,21.0,17.0,North Carolina,South Carolina,ACC,4.0
3944,ACC,SEC,15.0,21.0,North Carolina,South Carolina,SEC,6.0
3945,Big Ten,SEC,30.0,21.0,Nebraska,South Carolina,Big Ten,9.0
3946,American,SEC,38.0,21.0,Navy,South Carolina,American,17.0
3955,Big Ten,SEC,14.0,17.0,Michigan,South Carolina,SEC,3.0
3969,ACC,SEC,34.0,0.0,Georgia Tech,South Carolina,ACC,34.0
3970,ACC,SEC,27.0,6.0,Georgia Tech,South Carolina,ACC,21.0
3989,ACC,SEC,27.0,7.0,Florida State,South Carolina,ACC,20.0
3990,ACC,SEC,45.0,30.0,Florida State,South Carolina,ACC,15.0
3991,ACC,SEC,56.0,14.0,Florida State,South Carolina,ACC,42.0
3992,ACC,SEC,35.0,10.0,Florida State,South Carolina,ACC,25.0
3993,ACC,SEC,38.0,10.0,Florida State,South Carolina,ACC,28.0
4006,American,SEC,10.0,52.0,East Carolina,South Carolina,SEC,42.0
4007,American,SEC,31.0,20.0,East Carolina,South Carolina,American,11.0
4008,American,SEC,0.0,26.0,East Carolina,South Carolina,SEC,26.0
4009,American,SEC,37.0,56.0,East Carolina,South Carolina,SEC,19.0
4010,ACC,SEC,24.0,31.0,Duke,South Carolina,SEC,7.0
4011,ACC,SEC,27.0,6.0,Clemson,South Carolina,ACC,21.0
4012,ACC,SEC,24.0,6.0,Clemson,South Carolina,ACC,18.0
4013,ACC,SEC,21.0,22.0,Clemson,South Carolina,SEC,1.0
4014,ACC,SEC,21.0,21.0,Clemson,South Carolina,SEC,0.0
4015,ACC,SEC,29.0,10.0,Clemson,South Carolina,ACC,19.0
4016,ACC,SEC,24.0,15.0,Clemson,South Carolina,ACC,9.0
4017,ACC,SEC,13.0,24.0,Clemson,South Carolina,SEC,11.0
4018,ACC,SEC,7.0,33.0,Clemson,South Carolina,SEC,26.0
4019,ACC,SEC,31.0,34.0,Clemson,South Carolina,SEC,3.0
4020,ACC,SEC,28.0,19.0,Clemson,South Carolina,ACC,9.0
4021,ACC,SEC,16.0,14.0,Clemson,South Carolina,ACC,2.0
4022,ACC,SEC,27.0,20.0,Clemson,South Carolina,ACC,7.0
4023,ACC,SEC,29.0,7.0,Clemson,South Carolina,ACC,22.0
4024,ACC,SEC,28.0,31.0,Clemson,South Carolina,SEC,3.0
4025,ACC,SEC,31.0,14.0,Clemson,South Carolina,ACC,17.0
4026,ACC,SEC,7.0,29.0,Clemson,South Carolina,SEC,22.0
4027,ACC,SEC,17.0,27.0,Clemson,South Carolina,SEC,10.0
4028,ACC,SEC,,,Clemson,South Carolina,SEC,
4048,American,Sun Belt,39.0,41.0,Tulane,South Alabama,Sun Belt,2.0
4051,SEC,Sun Belt,31.0,24.0,Tennessee,South Alabama,SEC,7.0
4052,SEC,Sun Belt,,,South Carolina,South Alabama,Sun Belt,
4053,C-USA,Sun Belt,24.0,14.0,North Texas,South Alabama,C-USA,10.0
4054,American,Sun Belt,42.0,14.0,Navy,South Alabama,American,28.0
4055,SEC,Sun Belt,30.0,10.0,Mississippi State,South Alabama,SEC,20.0
4056,MAC,Sun Belt,33.0,25.0,Kent State,South Alabama,MAC,8.0
4057,MAC,Sun Belt,13.0,23.0,Kent State,South Alabama,Sun Belt,10.0
4066,Big Ten,Mountain West,27.0,14.0,Wisconsin,San Jose State,Big Ten,13.0
4067,Pac-12,Mountain West,26.0,31.0,Washington State,San Jose State,Mountain West,5.0
4068,Pac-12,Mountain West,13.0,20.0,Washington State,San Jose State,Mountain West,7.0
4069,Pac-12,Mountain West,52.0,16.0,Washington State,San Jose State,Pac-12,36.0
4070,Pac-12,Mountain West,35.0,31.0,Washington,San Jose State,Pac-12,4.0
4071,Pac-12,Mountain West,20.0,17.0,Washington,San Jose State,Pac-12,3.0
4072,Pac-12,Mountain West,52.0,17.0,Washington,San Jose State,Pac-12,35.0
4073,Pac-12,Mountain West,34.0,20.0,Washington,San Jose State,Pac-12,14.0
4074,Pac-12,Mountain West,53.0,10.0,Washington,San Jose State,Pac-12,43.0
4075,Pac-12,Mountain West,34.0,10.0,Washington,San Jose State,Pac-12,24.0
4076,Pac-12,Mountain West,21.0,6.0,Washington,San Jose State,Pac-12,15.0
4077,Pac-12,Mountain West,35.0,29.0,Washington,San Jose State,Pac-12,6.0
4078,ACC,Mountain West,52.0,14.0,Virginia,San Jose State,ACC,38.0
4090,Pac-12,Mountain West,56.0,3.0,Utah,San Jose State,Pac-12,53.0
4091,American,Mountain West,28.0,17.0,Tulsa,San Jose State,American,11.0
4092,American,Mountain West,38.0,49.0,Tulsa,San Jose State,Mountain West,11.0
4093,American,Mountain West,34.0,24.0,Tulsa,San Jose State,American,10.0
4094,C-USA,Mountain West,7.0,10.0,UTEP,San Jose State,Mountain West,3.0
4095,C-USA,Mountain West,28.0,21.0,UTEP,San Jose State,C-USA,7.0
4096,C-USA,Mountain West,42.0,26.0,UTEP,San Jose State,C-USA,16.0
4097,C-USA,Mountain West,28.0,40.0,UTEP,San Jose State,Mountain West,12.0
4098,C-USA,Mountain West,41.0,69.0,UTEP,San Jose State,Mountain West,28.0
4099,Pac-12,Mountain West,45.0,29.0,Stanford,San Jose State,Pac-12,16.0
4100,Pac-12,Mountain West,35.0,21.0,Stanford,San Jose State,Pac-12,14.0
4101,Pac-12,Mountain West,6.0,28.0,Stanford,San Jose State,Mountain West,22.0
4102,Pac-12,Mountain West,31.0,35.0,Stanford,San Jose State,Mountain West,4.0
4103,Pac-12,Mountain West,10.0,23.0,Stanford,San Jose State,Mountain West,13.0
4104,Pac-12,Mountain West,28.0,27.0,Stanford,San Jose State,Pac-12,1.0
4105,Pac-12,Mountain West,41.0,7.0,Stanford,San Jose State,Pac-12,34.0
4106,Pac-12,Mountain West,28.0,10.0,Stanford,San Jose State,Pac-12,18.0
4107,Pac-12,Mountain West,17.0,24.0,Stanford,San Jose State,Mountain West,7.0
4108,Pac-12,Mountain West,44.0,12.0,Stanford,San Jose State,Pac-12,32.0
4109,Pac-12,Mountain West,33.0,40.0,Stanford,San Jose State,Mountain West,7.0
4110,Pac-12,Mountain West,23.0,29.0,Stanford,San Jose State,Mountain West,6.0
4111,Pac-12,Mountain West,37.0,13.0,Stanford,San Jose State,Pac-12,24.0
4112,Pac-12,Mountain West,31.0,28.0,Stanford,San Jose State,Pac-12,3.0
4113,Pac-12,Mountain West,51.0,20.0,Stanford,San Jose State,Pac-12,31.0
4114,Pac-12,Mountain West,25.0,2.0,Stanford,San Jose State,Pac-12,23.0
4115,Pac-12,Mountain West,28.0,12.0,Stanford,San Jose State,Pac-12,16.0
4116,Pac-12,Mountain West,23.0,35.0,Stanford,San Jose State,Mountain West,12.0
4117,Pac-12,Mountain West,39.0,44.0,Stanford,San Jose State,Mountain West,5.0
4118,Pac-12,Mountain West,27.0,40.0,Stanford,San Jose State,Mountain West,13.0
4119,Pac-12,Mountain West,63.0,26.0,Stanford,San Jose State,Pac-12,37.0
4120,Pac-12,Mountain West,31.0,10.0,Stanford,San Jose State,Pac-12,21.0
4121,Pac-12,Mountain West,43.0,3.0,Stanford,San Jose State,Pac-12,40.0
4122,Pac-12,Mountain West,37.0,0.0,Stanford,San Jose State,Pac-12,37.0
4123,Pac-12,Mountain West,23.0,10.0,Stanford,San Jose State,Pac-12,13.0
4124,Pac-12,Mountain West,42.0,17.0,Stanford,San Jose State,Pac-12,25.0
4125,Pac-12,Mountain West,57.0,3.0,Stanford,San Jose State,Pac-12,54.0
4126,Pac-12,Mountain West,20.0,17.0,Stanford,San Jose State,Pac-12,3.0
4127,Pac-12,Mountain West,34.0,13.0,Stanford,San Jose State,Pac-12,21.0
4133,C-USA,Mountain West,49.0,7.0,Rice,San Jose State,C-USA,42.0
4134,C-USA,Mountain West,28.0,24.0,Rice,San Jose State,C-USA,4.0
4135,Pac-12,Mountain West,14.0,24.0,Oregon State,San Jose State,Mountain West,10.0
4136,Pac-12,Mountain West,13.0,17.0,Oregon State,San Jose State,Mountain West,4.0
4137,Pac-12,Mountain West,36.0,34.0,Oregon State,San Jose State,Pac-12,2.0
4138,Pac-12,Mountain West,26.0,12.0,Oregon State,San Jose State,Pac-12,14.0
4139,Pac-12,Mountain West,13.0,18.0,Oregon,San Jose State,Mountain West,5.0
4140,Pac-12,Mountain West,35.0,13.0,Oregon,San Jose State,Pac-12,22.0
4141,Pac-12,Mountain West,58.0,3.0,Oregon,San Jose State,Pac-12,55.0
4142,Big Ten,Mountain West,50.0,7.0,Ohio State,San Jose State,Big Ten,43.0
4143,Sun Belt,Mountain West,7.0,45.0,New Mexico State,San Jose State,Mountain West,38.0
4144,Sun Belt,Mountain West,0.0,51.0,New Mexico State,San Jose State,Mountain West,51.0
4145,Sun Belt,Mountain West,20.0,56.0,New Mexico State,San Jose State,Mountain West,36.0
4146,Sun Belt,Mountain West,13.0,39.0,New Mexico State,San Jose State,Mountain West,26.0
4147,Sun Belt,Mountain West,37.0,38.0,New Mexico State,San Jose State,Mountain West,1.0
4148,Sun Belt,Mountain West,21.0,31.0,New Mexico State,San Jose State,Mountain West,10.0
4149,Sun Belt,Mountain West,14.0,31.0,New Mexico State,San Jose State,Mountain West,17.0
4150,Sun Belt,Mountain West,29.0,27.0,New Mexico State,San Jose State,Sun Belt,2.0
4151,Sun Belt,Mountain West,7.0,47.0,New Mexico State,San Jose State,Mountain West,40.0
4152,Big Ten,Mountain West,49.0,13.0,Nebraska,San Jose State,Big Ten,36.0
4153,Big Ten,Mountain West,35.0,12.0,Nebraska,San Jose State,Big Ten,23.0
4154,American,Mountain West,0.0,12.0,Navy,San Jose State,Mountain West,12.0
4155,American,Mountain West,,,Navy,San Jose State,Mountain West,
4156,Big Ten,Mountain West,26.0,20.0,Minnesota,San Jose State,Big Ten,6.0
4157,Big Ten,Mountain West,30.0,39.0,Minnesota,San Jose State,Mountain West,9.0
4158,Big Ten,Mountain West,43.0,24.0,Minnesota,San Jose State,Big Ten,19.0
4159,Big Ten,Mountain West,,,Minnesota,San Jose State,Mountain West,
4160,ACC,Mountain West,31.0,24.0,Louisville,San Jose State,ACC,7.0
4161,C-USA,Mountain West,6.0,27.0,Louisiana Tech,San Jose State,Mountain West,21.0
4162,C-USA,Mountain West,41.0,20.0,Louisiana Tech,San Jose State,C-USA,21.0
4163,C-USA,Mountain West,31.0,14.0,Louisiana Tech,San Jose State,C-USA,17.0
4164,C-USA,Mountain West,27.0,23.0,Louisiana Tech,San Jose State,C-USA,4.0
4165,C-USA,Mountain West,55.0,20.0,Louisiana Tech,San Jose State,C-USA,35.0
4166,C-USA,Mountain West,38.0,28.0,Louisiana Tech,San Jose State,C-USA,10.0
4167,Big 12,Mountain West,34.0,14.0,Kansas State,San Jose State,Big 12,20.0
4168,Big 12,Mountain West,27.0,6.0,Iowa State,San Jose State,Big 12,21.0
4169,Big Ten,Mountain West,35.0,38.0,Illinois,San Jose State,Mountain West,3.0
4170,Big Ten,Mountain West,40.0,19.0,Illinois,San Jose State,Big Ten,21.0
4171,Sun Belt,Mountain West,13.0,28.0,Idaho,San Jose State,Mountain West,15.0
4172,Sun Belt,Mountain West,24.0,30.0,Idaho,San Jose State,Mountain West,6.0
4173,Sun Belt,Mountain West,26.0,23.0,Idaho,San Jose State,Sun Belt,3.0
4174,Sun Belt,Mountain West,13.0,42.0,Idaho,San Jose State,Mountain West,29.0
4175,SEC,Mountain West,59.0,21.0,Florida,San Jose State,SEC,38.0
4176,SEC,Mountain West,65.0,3.0,Florida,San Jose State,SEC,62.0
4180,Pac-12,Mountain West,63.0,35.0,Colorado,San Jose State,Pac-12,28.0
4181,Pac-12,Mountain West,51.0,15.0,Colorado,San Jose State,Pac-12,36.0
4200,Pac-12,Mountain West,13.0,10.0,California,San Jose State,Pac-12,3.0
4201,Pac-12,Mountain West,24.0,27.0,California,San Jose State,Mountain West,3.0
4202,Pac-12,Mountain West,26.0,7.0,California,San Jose State,Pac-12,19.0
4203,Pac-12,Mountain West,30.0,9.0,California,San Jose State,Pac-12,21.0
4204,Pac-12,Mountain West,18.0,33.0,California,San Jose State,Mountain West,15.0
4205,Pac-12,Mountain West,48.0,21.0,California,San Jose State,Pac-12,27.0
4206,Pac-12,Mountain West,14.0,35.0,California,San Jose State,Mountain West,21.0
4207,Pac-12,Mountain West,25.0,27.0,California,San Jose State,Mountain West,2.0
4208,Pac-12,Mountain West,21.0,14.0,California,San Jose State,Pac-12,7.0
4209,Pac-12,Mountain West,26.0,21.0,California,San Jose State,Pac-12,5.0
4210,Pac-12,Mountain West,35.0,34.0,California,San Jose State,Pac-12,1.0
4211,Pac-12,Mountain West,41.0,20.0,California,San Jose State,Pac-12,21.0
4212,Pac-12,Mountain West,46.0,16.0,California,San Jose State,Pac-12,30.0
4213,Pac-12,Mountain West,46.0,13.0,California,San Jose State,Pac-12,33.0
4214,Pac-12,Mountain West,55.0,0.0,California,San Jose State,Pac-12,55.0
4215,Pac-12,Mountain West,40.0,7.0,California,San Jose State,Pac-12,33.0
4221,Big 12,Mountain West,22.0,30.0,Baylor,San Jose State,Mountain West,8.0
4222,SEC,Mountain West,59.0,13.0,Auburn,San Jose State,SEC,46.0
4223,Sun Belt,Mountain West,21.0,7.0,Arkansas State,San Jose State,Sun Belt,14.0
4224,Sun Belt,Mountain West,14.0,33.0,Arkansas State,San Jose State,Mountain West,19.0
4225,Pac-12,Mountain West,31.0,24.0,Arizona State,San Jose State,Pac-12,7.0
4226,Pac-12,Mountain West,24.0,17.0,Arizona State,San Jose State,Pac-12,7.0
4227,Pac-12,Mountain West,48.0,0.0,Arizona State,San Jose State,Pac-12,48.0
4228,Pac-12,Mountain West,28.0,21.0,Arizona State,San Jose State,Pac-12,7.0
4229,Pac-12,Mountain West,53.0,15.0,Arizona State,San Jose State,Pac-12,38.0
4230,Pac-12,Mountain West,45.0,3.0,Arizona State,San Jose State,Pac-12,42.0
4231,Pac-12,Mountain West,38.0,18.0,Arizona,San Jose State,Pac-12,20.0
4232,Pac-12,Mountain West,41.0,0.0,Arizona,San Jose State,Pac-12,41.0
4233,SEC,Mountain West,48.0,3.0,Alabama,San Jose State,SEC,45.0
4251,Big Ten,Mountain West,35.0,12.0,Wisconsin,San Diego State,Big Ten,23.0
4252,Big Ten,Mountain West,36.0,10.0,Wisconsin,San Diego State,Big Ten,26.0
4253,Big Ten,Mountain West,14.0,0.0,Wisconsin,San Diego State,Big Ten,14.0
4254,Pac-12,Mountain West,45.0,17.0,Washington State,San Diego State,Pac-12,28.0
4255,Pac-12,Mountain West,46.0,25.0,Washington,San Diego State,Pac-12,21.0
4256,Pac-12,Mountain West,36.0,3.0,Washington,San Diego State,Pac-12,33.0
4257,Pac-12,Mountain West,21.0,12.0,Washington,San Diego State,Pac-12,9.0
4258,Pac-12,Mountain West,13.0,17.0,Utah,San Diego State,Mountain West,4.0
4259,Pac-12,Mountain West,17.0,14.0,Utah,San Diego State,Pac-12,3.0
4260,Pac-12,Mountain West,27.0,24.0,Utah,San Diego State,Pac-12,3.0
4261,Pac-12,Mountain West,30.0,37.0,Utah,San Diego State,Mountain West,7.0
4262,Pac-12,Mountain West,41.0,20.0,Utah,San Diego State,Pac-12,21.0
4263,Pac-12,Mountain West,27.0,38.0,Utah,San Diego State,Mountain West,11.0
4264,Pac-12,Mountain West,21.0,24.0,Utah,San Diego State,Mountain West,3.0
4265,Pac-12,Mountain West,45.0,41.0,Utah,San Diego State,Pac-12,4.0
4266,Pac-12,Mountain West,21.0,24.0,Utah,San Diego State,Mountain West,3.0
4267,Pac-12,Mountain West,38.0,16.0,Utah,San Diego State,Pac-12,22.0
4268,Pac-12,Mountain West,17.0,3.0,Utah,San Diego State,Pac-12,14.0
4269,Pac-12,Mountain West,27.0,6.0,Utah,San Diego State,Pac-12,21.0
4270,Pac-12,Mountain West,19.0,28.0,Utah,San Diego State,Mountain West,9.0
4271,Pac-12,Mountain West,23.0,7.0,Utah,San Diego State,Pac-12,16.0
4272,Pac-12,Mountain West,38.0,7.0,Utah,San Diego State,Pac-12,31.0
4273,American,Mountain West,34.0,9.0,Tulsa,San Diego State,American,25.0
4274,American,Mountain West,14.0,24.0,Tulsa,San Diego State,Mountain West,10.0
4275,C-USA,Mountain West,7.0,28.0,UTEP,San Diego State,Mountain West,21.0
4276,C-USA,Mountain West,33.0,41.0,UTEP,San Diego State,Mountain West,8.0
4277,C-USA,Mountain West,6.0,34.0,UTEP,San Diego State,Mountain West,28.0
4278,C-USA,Mountain West,10.0,15.0,UTEP,San Diego State,Mountain West,5.0
4279,C-USA,Mountain West,58.0,7.0,UTEP,San Diego State,C-USA,51.0
4280,C-USA,Mountain West,31.0,34.0,UTEP,San Diego State,Mountain West,3.0
4281,C-USA,Mountain West,21.0,28.0,UTEP,San Diego State,Mountain West,7.0
4282,C-USA,Mountain West,16.0,45.0,UTEP,San Diego State,Mountain West,29.0
4283,C-USA,Mountain West,0.0,34.0,UTEP,San Diego State,Mountain West,34.0
4284,Pac-12,Mountain West,17.0,10.0,Stanford,San Diego State,Pac-12,7.0
4285,Pac-12,Mountain West,31.0,10.0,Stanford,San Diego State,Pac-12,21.0
4291,Pac-12,Mountain West,35.0,3.0,Oregon State,San Diego State,Pac-12,32.0
4292,Pac-12,Mountain West,,,Oregon State,San Diego State,Mountain West,
4293,Pac-12,Mountain West,25.0,20.0,Oregon,San Diego State,Pac-12,5.0
4294,Pac-12,Mountain West,42.0,21.0,Oregon,San Diego State,Pac-12,21.0
4295,Big 12,Mountain West,15.0,6.0,Oklahoma State,San Diego State,Big 12,9.0
4296,Big 12,Mountain West,16.0,23.0,Oklahoma State,San Diego State,Mountain West,7.0
4297,Big 12,Mountain West,19.0,16.0,Oklahoma State,San Diego State,Big 12,3.0
4298,Big 12,Mountain West,38.0,22.0,Oklahoma,San Diego State,Big 12,16.0
4299,Big Ten,Mountain West,27.0,12.0,Ohio State,San Diego State,Big Ten,15.0
4300,Big Ten,Mountain West,16.0,13.0,Ohio State,San Diego State,Big Ten,3.0
4301,Big Ten,Mountain West,27.0,6.0,Ohio State,San Diego State,Big Ten,21.0
4302,Big Ten,Mountain West,42.0,7.0,Ohio State,San Diego State,Big Ten,35.0
4303,Independent,Mountain West,21.0,13.0,Notre Dame,San Diego State,Independent,8.0
4304,ACC,Mountain West,31.0,27.0,North Carolina,San Diego State,ACC,4.0
4305,Sun Belt,Mountain West,21.0,41.0,New Mexico State,San Diego State,Mountain West,20.0
4306,Sun Belt,Mountain West,16.0,26.0,New Mexico State,San Diego State,Mountain West,10.0
4325,SEC,Mountain West,45.0,15.0,Missouri,San Diego State,SEC,30.0
4326,SEC,Mountain West,27.0,24.0,Missouri,San Diego State,SEC,3.0
4327,Big Ten,Mountain West,40.0,17.0,Minnesota,San Diego State,Big Ten,23.0
4328,Big Ten,Mountain West,24.0,21.0,Michigan,San Diego State,Big Ten,3.0
4329,Big Ten,Mountain West,28.0,7.0,Michigan,San Diego State,Big Ten,21.0
4330,Big 12,Mountain West,13.0,41.0,Kansas,San Diego State,Mountain West,28.0
4331,Big Ten,Mountain West,38.0,10.0,Illinois,San Diego State,Big Ten,28.0
4332,Sun Belt,Mountain West,48.0,38.0,Idaho,San Diego State,Sun Belt,10.0
4333,Sun Belt,Mountain West,34.0,20.0,Idaho,San Diego State,Sun Belt,14.0
4349,Pac-12,Mountain West,34.0,14.0,Colorado,San Diego State,Pac-12,20.0
4356,Pac-12,Mountain West,28.0,0.0,California,San Diego State,Pac-12,28.0
4357,Pac-12,Mountain West,45.0,25.0,California,San Diego State,Pac-12,20.0
4358,Pac-12,Mountain West,42.0,37.0,California,San Diego State,Pac-12,5.0
4361,Independent,Mountain West,20.0,23.0,Army,San Diego State,Mountain West,3.0
4362,Pac-12,Mountain West,38.0,7.0,Arizona State,San Diego State,Pac-12,31.0
4363,Pac-12,Mountain West,34.0,13.0,Arizona State,San Diego State,Pac-12,21.0
4364,Pac-12,Mountain West,31.0,28.0,Arizona,San Diego State,Pac-12,3.0
4365,Pac-12,Mountain West,17.0,3.0,Arizona,San Diego State,Pac-12,14.0
4383,Big 12,Big Ten,20.0,3.0,West Virginia,Rutgers,Big 12,17.0
4384,Big 12,Big Ten,35.0,7.0,West Virginia,Rutgers,Big 12,28.0
4385,Big 12,Big Ten,27.0,0.0,West Virginia,Rutgers,Big 12,27.0
4386,Big 12,Big Ten,37.0,13.0,West Virginia,Rutgers,Big 12,24.0
4387,Big 12,Big Ten,21.0,20.0,West Virginia,Rutgers,Big 12,1.0
4388,Big 12,Big Ten,28.0,3.0,West Virginia,Rutgers,Big 12,25.0
4389,Big 12,Big Ten,58.0,22.0,West Virginia,Rutgers,Big 12,36.0
4390,Big 12,Big Ten,59.0,26.0,West Virginia,Rutgers,Big 12,33.0
4391,Big 12,Big Ten,48.0,0.0,West Virginia,Rutgers,Big 12,48.0
4392,Big 12,Big Ten,62.0,16.0,West Virginia,Rutgers,Big 12,46.0
4393,Big 12,Big Ten,80.0,7.0,West Virginia,Rutgers,Big 12,73.0
4394,Big 12,Big Ten,34.0,19.0,West Virginia,Rutgers,Big 12,15.0
4395,Big 12,Big Ten,41.0,39.0,West Virginia,Rutgers,Big 12,2.0
4396,Big 12,Big Ten,24.0,17.0,West Virginia,Rutgers,Big 12,7.0
4397,Big 12,Big Ten,35.0,14.0,West Virginia,Rutgers,Big 12,21.0
4398,Pac-12,Big Ten,38.0,41.0,Washington State,Rutgers,Big Ten,3.0
4399,ACC,Big Ten,17.0,10.0,Wake Forest,Rutgers,ACC,7.0
4400,ACC,Big Ten,49.0,42.0,Virginia Tech,Rutgers,ACC,7.0
4401,ACC,Big Ten,41.0,34.0,Virginia Tech,Rutgers,ACC,7.0
4402,ACC,Big Ten,30.0,14.0,Virginia Tech,Rutgers,ACC,16.0
4403,ACC,Big Ten,47.0,7.0,Virginia Tech,Rutgers,ACC,40.0
4404,ACC,Big Ten,49.0,0.0,Virginia Tech,Rutgers,ACC,49.0
4405,ACC,Big Ten,35.0,14.0,Virginia Tech,Rutgers,ACC,21.0
4406,ACC,Big Ten,17.0,19.0,Virginia,Rutgers,Big Ten,2.0
4407,SEC,Big Ten,27.0,13.0,Vanderbilt,Rutgers,SEC,14.0
4408,SEC,Big Ten,34.0,37.0,Vanderbilt,Rutgers,Big Ten,3.0
4409,American,Big Ten,40.0,45.0,Tulane,Rutgers,Big Ten,5.0
4410,American,Big Ten,12.0,24.0,Tulane,Rutgers,Big Ten,12.0
4411,Big 12,Big Ten,48.0,14.0,Texas,Rutgers,Big 12,34.0
4412,SEC,Big Ten,7.0,13.0,Tennessee,Rutgers,Big Ten,6.0
4413,SEC,Big Ten,40.0,0.0,Tennessee,Rutgers,SEC,40.0
4414,SEC,Big Ten,35.0,14.0,Tennessee,Rutgers,SEC,21.0
4415,American,Big Ten,3.0,21.0,Temple,Rutgers,Big Ten,18.0
4416,American,Big Ten,7.0,10.0,Temple,Rutgers,Big Ten,3.0
4417,American,Big Ten,14.0,13.0,Temple,Rutgers,American,1.0
4418,American,Big Ten,14.0,17.0,Temple,Rutgers,Big Ten,3.0
4419,American,Big Ten,36.0,33.0,Temple,Rutgers,American,3.0
4420,American,Big Ten,29.0,22.0,Temple,Rutgers,American,7.0
4421,American,Big Ten,10.0,35.0,Temple,Rutgers,Big Ten,25.0
4422,American,Big Ten,20.0,23.0,Temple,Rutgers,Big Ten,3.0
4423,American,Big Ten,49.0,7.0,Temple,Rutgers,American,42.0
4424,American,Big Ten,56.0,28.0,Temple,Rutgers,American,28.0
4425,American,Big Ten,30.0,5.0,Temple,Rutgers,American,25.0
4426,American,Big Ten,14.0,30.0,Temple,Rutgers,Big Ten,16.0
4427,American,Big Ten,10.0,35.0,Temple,Rutgers,Big Ten,25.0
4428,ACC,Big Ten,17.0,9.0,Syracuse,Rutgers,ACC,8.0
4429,ACC,Big Ten,27.0,29.0,Syracuse,Rutgers,Big Ten,2.0
4430,ACC,Big Ten,17.0,13.0,Syracuse,Rutgers,ACC,4.0
4431,ACC,Big Ten,0.0,19.0,Syracuse,Rutgers,Big Ten,19.0
4432,ACC,Big Ten,10.0,16.0,Syracuse,Rutgers,Big Ten,6.0
4433,ACC,Big Ten,34.0,20.0,Syracuse,Rutgers,ACC,14.0
4434,ACC,Big Ten,42.0,0.0,Syracuse,Rutgers,ACC,42.0
4435,ACC,Big Ten,50.0,28.0,Syracuse,Rutgers,ACC,22.0
4436,ACC,Big Ten,37.0,36.0,Syracuse,Rutgers,ACC,1.0
4437,ACC,Big Ten,42.0,0.0,Syracuse,Rutgers,ACC,42.0
4438,ACC,Big Ten,70.0,14.0,Syracuse,Rutgers,ACC,56.0
4439,ACC,Big Ten,49.0,21.0,Syracuse,Rutgers,ACC,28.0
4440,ACC,Big Ten,45.0,14.0,Syracuse,Rutgers,ACC,31.0
4441,ACC,Big Ten,41.0,31.0,Syracuse,Rutgers,ACC,10.0
4442,ACC,Big Ten,9.0,31.0,Syracuse,Rutgers,Big Ten,22.0
4443,ACC,Big Ten,14.0,38.0,Syracuse,Rutgers,Big Ten,24.0
4444,ACC,Big Ten,31.0,13.0,Syracuse,Rutgers,ACC,18.0
4445,ACC,Big Ten,16.0,19.0,Syracuse,Rutgers,Big Ten,3.0
4446,American,Big Ten,20.0,22.0,South Florida,Rutgers,Big Ten,2.0
