Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
978,131835,Boss Monster: The Dungeon Building Card Game,6.331,3030,2013,20,2,4,,Card Game,Auction/Bidding,11,8,4,3: Too much
979,638,Hera and Zeus,6.331,2802,2000,30,2,2,,Card Game,Action Point Allowance System,0,10,2,2: Possible
980,103660,VivaJava: The Coffee Game,6.33,692,2012,90,3,8,,Economic,Commodity Speculation,1,10,8,2: Possible
981,4394,The Settlers of the Stone Age,6.33,1945,2002,90,3,4,Klaus Teuber,,Dice Rolling,0,8,4,1: Need crib
982,508,Blue Max,6.33,662,1983,60,2,6,,Wargame,Hex-and-Counter,0,10,6,2: Possible
983,9441,Ribbit,6.33,1272,2004,20,2,5,Reiner Knizia,Card Game,Hand Management,0,5,3,1: Need crib
984,39188,Liberty Roads,6.33,326,2009,960,2,2,,Wargame,Dice Rolling,1,12,2,4: Unplayable
985,21791,Masons,6.329,2092,2006,45,2,4,,,Dice Rolling,0,8,3,1: Need crib
986,1044,Gunslinger,6.329,791,1982,90,1,7,,Fighting,Action / Movement Programming,0,10,4,2: Possible
987,34585,Keltis,6.329,3550,2008,30,2,4,Reiner Knizia,Card Game,Hand Management,1,8,3,1: Need crib
988,32484,The Battle for Hill 218,6.329,1443,2007,15,2,2,,Card Game,Hand Management,0,8,2,1: Need crib
989,34969,Ubongo: Duel,6.329,819,2008,15,2,2,,,Pattern Building,0,8,2,1: Need crib
990,16991,Khet: The Laser Game,6.329,2085,2005,20,2,2,,Abstract Strategy,Grid Movement,2,8,2,1: Need crib
991,17161,Tempus,6.327,2298,2006,90,3,5,Martin Wallace,,Auction/Bidding,0,10,4,2: Possible
992,37196,Sorry! Sliders,6.327,2932,2008,30,1,4,,Children's Game,,0,4,4,1: Need crib
993,2569,Pick Picknic,6.326,2051,2001,30,2,6,,Card Game,Dice Rolling,0,6,6,1: Need crib
994,116954,Indigo,6.325,975,2012,30,2,4,Reiner Knizia,Abstract Strategy,Point to Point Movement,0,6,4,1: Need crib
995,124172,Tsuro of the Seas,6.325,1525,2012,30,2,8,,Abstract Strategy,Dice Rolling,1,8,4,1: Need crib
996,189,Die Siedler von NÃ_rnberg,6.325,767,1999,90,3,4,Klaus Teuber,,Dice Rolling,0,10,4,2: Possible
997,788,Tales of the Arabian Nights,6.324,672,1985,120,1,6,,Fantasy,Point to Point Movement,0,10,2,4: Unplayable
998,2596,Villa Paletti,6.323,2988,2001,30,2,4,,Children's Game,Dice Rolling,0,5,4,1: Need crib
999,3570,Chicken Cha Cha Cha,6.322,1766,1997,20,2,4,,Children's Game,Memory,1,3,4,1: Need crib
1000,1423,Storm over Arnhem,6.322,679,1981,300,2,2,,Wargame,Area Movement,0,12,2,1: Need crib
1001,66510,The Red Dragon Inn 3,6.319,589,2011,60,2,4,,Card Game,Betting/Wagering,9,10,4,4: Unplayable
1002,122842,Exodus: Proxima Centauri,6.319,607,2012,180,2,6,,Fighting,Area Control / Area Influence,3,14,6,2: Possible
1003,75212,Grand Cru,6.318,866,2010,90,2,5,,Economic,Auction/Bidding,2,10,3,1: Need crib
1004,28620,Phoenicia,6.318,1677,2007,90,2,5,,Economic,Auction/Bidding,0,12,4,2: Possible
1005,15318,Palazzo,6.317,2036,2005,45,2,4,Reiner Knizia,,Auction/Bidding,0,10,3,1: Need crib
1006,108,TAMSK,6.317,1143,1998,20,2,2,,Abstract Strategy,Grid Movement,0,8,2,1: Need crib
1007,65907,Mystery Express,6.316,1972,2010,75,3,5,,,Action Point Allowance System,0,12,4,2: Possible
1008,57660,Time's Up! EdiciÃ_n Azul,6.315,507,2006,45,4,12,,Party Game,Memory,1,14,6,1: Need crib
1009,41863,Axis & Allies: 1942,6.315,1151,2009,240,2,5,,Economic,Area Movement,1,12,5,2: Possible
1010,1295,Pente,6.315,2019,1977,30,2,6,,Abstract Strategy,Pattern Building,0,8,2,1: Need crib
1011,134352,Two Rooms and a Boom,6.314,602,2013,15,6,30,,Party Game,Partnerships,0,12,14,2: Possible
1012,18985,Battleground: Fantasy Warfare,6.314,866,2005,60,2,2,,Card Game,Action Point Allowance System,13,10,2,3: Too much
1013,21632,To Court the King,6.314,3231,2006,45,2,5,,Dice,Card Drafting,0,10,3,1: Need crib
1014,99392,Colonial: Europe's Empires Overseas,6.314,644,2011,120,2,6,,Economic,Area Control / Area Influence,0,14,5,2: Possible
1015,128,Take it Easy!,6.313,1743,1983,20,1,8,,Abstract Strategy,Tile Placement,0,6,4,1: Need crib
1016,2529,Flat Top,6.312,645,1977,360,2,2,,Wargame,Dice Rolling,0,12,2+,3: Too much
1017,1563,Rise and Decline of the Third Reich,6.312,1366,1974,1440,2,6,,Wargame,Hex-and-Counter,1,14,2,4: Unplayable
1018,36708,Leader 1,6.312,768,2008,60,2,10,,,Modular Board,0,8,4,1: Need crib
1019,40990,Word on the Street,6.312,1269,2009,20,2,8,,Party Game,Partnerships,1,10,4,
1020,148601,1944: Race to the Rhine,6.312,388,2014,90,1,3,,Wargame,Pick-up and Deliver,0,12,3,1: Need crib
1021,35614,Where There Is Discord: War in the South Atlantic,6.31,302,2009,240,1,1,,Wargame,Dice Rolling,0,12,1,4: Unplayable
1022,55952,Greed Incorporated,6.309,691,2009,180,3,5,,Economic,Auction/Bidding,0,14,4,1: Need crib
1023,19427,Gemblo,6.308,926,2005,30,2,6,,Abstract Strategy,,1,8,6,1: Need crib
1024,27463,Galactic Emperor,6.308,1274,2008,90,3,6,,Science Fiction,Dice Rolling,0,12,4,2: Possible
1025,28723,Before the Wind,6.308,1292,2007,90,2,4,,Card Game,Auction/Bidding,0,10,4,1: Need crib
1026,466,Inkognito,6.307,1803,1988,90,3,4,Alex Randolph,,Partnerships,0,10,4,2: Possible
1027,123219,OddVille,6.307,828,2012,45,2,4,,Card Game,Card Drafting,0,10,2,1: Need crib
1028,75091,Norenberc,6.307,857,2010,90,2,5,,Economic,Set Collection,1,10,3,1: Need crib
1029,127997,Qin,6.304,986,2012,30,2,4,Reiner Knizia,Abstract Strategy,Area Control / Area Influence,1,12,2,1: Need crib
1030,31291,EspaÃ±a 1936,6.302,547,2007,180,2,2,,Wargame,Area Movement,1,12,2,3: Too much
1031,140,Pit,6.301,5236,1903,90,3,8,,Card Game,Set Collection,1,8,7,1: Need crib
1032,2612,18AL,6.301,471,1999,180,3,5,,Economic,Auction/Bidding,0,14,3,2: Possible
1033,18745,Sun Tzu,6.3,785,2005,30,2,2,,,Area Control / Area Influence,0,8,2,1: Need crib
1034,36888,After the Flood,6.3,820,2008,180,3,3,Martin Wallace,Fighting,Area Control / Area Influence,0,14,3,2: Possible
1035,132,Caesar & Cleopatra,6.299,3496,1997,60,2,2,,Card Game,Area Control / Area Influence,0,10,2,2: Possible
1036,46007,A Brief History of the World,6.298,690,2009,180,3,6,,Wargame,Area Control / Area Influence,0,10,5,2: Possible
1037,145189,Timeline: Music & Cinema,6.298,677,2013,15,2,8,,Card Game,,0,10,6,2: Possible
1038,143401,Yunnan,6.298,588,2013,90,2,5,,,Area Movement,1,12,4,1: Need crib
1039,3236,WildLife,6.298,1256,2002,75,2,6,Wolfgang Kramer,,Area Control / Area Influence,0,10,6,2: Possible
1040,45748,Carcassonne: Wheel of Fortune,6.297,629,2009,30,2,5,,,Area Control / Area Influence,27,8,2,2: Possible
1041,7,Cathedral,6.295,2368,1978,20,2,2,,Abstract Strategy,Pattern Building,0,8,2,1: Need crib
1042,6819,Skat,6.293,557,,30,3,3,(Uncredited),Card Game,Auction/Bidding,0,8,3,1: Need crib
1043,296,Medieval Merchant,6.293,995,1998,60,2,6,,Economic,,0,12,6,1: Need crib
1044,59753,Priests of Ra,6.293,763,2009,60,2,5,Reiner Knizia,,Auction/Bidding,0,8,4,1: Need crib
1045,163166,One Night Ultimate Werewolf Daybreak,6.293,290,2015,10,3,7,,Card Game,Role Playing,1,,7,2: Possible
1046,11229,Star Wars Miniatures,6.292,1267,2004,60,2,2,,Science Fiction,Dice Rolling,0,10,2,3: Too much
1047,40770,The Golden City,6.291,1180,2009,60,3,4,Michael Schacht,,Area Control / Area Influence,0,8,4,1: Need crib
1048,17025,Friday the 13th,6.291,2880,2005,30,3,6,Reiner Knizia,Card Game,Hand Management,1,8,5,1: Need crib
1049,38718,Normandy '44,6.291,346,2010,420,2,4,,Wargame,Dice Rolling,0,12,2,3: Too much
1050,36367,Dust Tactics,6.29,563,2010,30,2,4,,Science Fiction,Action Point Allowance System,87,10,2,2: Possible
1051,12692,Gloom,6.29,6294,2005,60,2,5,,Card Game,Hand Management,6,10,4,4: Unplayable
1052,118418,Divinare,6.289,965,2012,30,2,4,,Card Game,Card Drafting,0,10,4,1: Need crib
1053,932,Top Race,6.287,1017,1996,45,2,6,Wolfgang Kramer,,Betting/Wagering,0,6,6,1: Need crib
1054,38506,Witch of Salem,6.287,1304,2008,60,2,4,,,Co-operative Play,0,10,4,3: Too much
1055,2516,Man O' War,6.286,609,1993,180,2,8,,Fantasy,Dice Rolling,2,10,2,4: Unplayable
1056,37734,Cavum,6.286,997,2008,90,2,4,Wolfgang Kramer,,Action Point Allowance System,0,12,3,1: Need crib
1057,65282,Tanto Cuore,6.285,874,2009,45,2,4,,Card Game,Action Point Allowance System,1,10,4,3: Too much
1058,1194,Speed Circuit,6.285,907,1971,120,2,6,,,Action Point Allowance System,11,10,6,2: Possible
1059,2603,The Lord of the Rings Trading Card Game,6.284,1117,2001,45,2,6,,Card Game,,0,10,2,4: Unplayable
1060,19643,World of Warcraft Trading Card Game,6.283,1470,2006,20,2,2,,Card Game,Hand Management,0,10,2,4: Unplayable
1061,320,Scrabble,6.283,15455,1948,90,2,4,,,Hand Management,0,8,2,
1062,23817,1861: The Railways of the Russian Empire,6.283,377,2006,360,3,6,,Economic,Auction/Bidding,0,12,4,1: Need crib
1063,125046,Fantastiqa,6.283,583,2012,60,2,4,,Fantasy,Deck / Pool Building,11,8,2,2: Possible
1064,140343,Carnival Zombie,6.282,433,2013,120,1,6,,,Action / Movement Programming,0,12,3,3: Too much
1065,23451,Space Dealer,6.282,1529,2006,30,3,4,,Science Fiction,Pick-up and Deliver,1,12,4,1: Need crib
1066,166226,The Staufer Dynasty,6.282,473,2014,40,2,5,,,Area Control / Area Influence,0,12,4,1: Need crib
1067,104581,Panic on Wall Street!,6.282,716,2011,30,3,11,,Economic,Auction/Bidding,0,8,8,1: Need crib
1068,3085,Gang of Four,6.282,1729,1990,30,3,4,,Card Game,Hand Management,0,8,4,1: Need crib
1069,54307,Chronicle,6.282,850,2009,30,3,6,,Card Game,Set Collection,0,6,4,2: Possible
1070,37371,Piece o' Cake,6.282,1571,2008,20,2,5,,Children's Game,Set Collection,1,8,5,1: Need crib
1071,40832,Keltis: Das Kartenspiel,6.282,929,2009,15,2,4,Reiner Knizia,Card Game,Hand Management,0,8,3,1: Need crib
1072,39206,Click Clack Lumberjack,6.281,1554,2008,10,2,7,,Children's Game,,2,6,4,1: Need crib
1073,34297,The Climbers,6.28,811,2008,45,2,5,,Abstract Strategy,Modular Board,0,8,4,1: Need crib
1074,1334,Entdecker: Exploring New Horizons,6.28,1631,2001,90,2,4,Klaus Teuber,,Area Control / Area Influence,0,10,4,1: Need crib
1075,6866,Mus,6.279,332,,10,4,4,(Uncredited),Card Game,Betting/Wagering,0,14,4,1: Need crib
1076,8490,Age of Napoleon,6.278,935,2003,180,2,2,,Wargame,Area Movement,0,12,2,3: Too much
1077,10550,Big Boggle,6.277,840,1979,10,2,8,,,Pattern Recognition,0,8,4,
1078,27048,Duel in the Dark,6.277,1258,2007,45,1,2,,Wargame,Action / Movement Programming,14,12,2,1: Need crib
1079,3421,StreetSoccer,6.276,1454,2002,30,2,2,,Dice,Dice Rolling,0,6,2,1: Need crib
1080,36946,Red November,6.275,5832,2008,60,1,8,Bruno Faidutti,Fantasy,Area Movement,0,10,4,2: Possible
1081,118536,Police Precinct,6.274,707,2013,90,1,6,,,Co-operative Play,5,10,4,3: Too much
1082,11168,Flames of War: The World War II Miniatures Game,6.274,674,2002,120,1,2,,Wargame,Dice Rolling,48,12,2,2: Possible
1083,93538,Battleship Galaxies: The Saturn Offensive Game Set,6.273,953,2011,70,2,4,,Science Fiction,Action Point Allowance System,0,10,2,3: Too much
1084,3139,Goldland,6.273,1140,2002,60,2,5,Wolfgang Kramer,,Hand Management,0,10,4,1: Need crib
1085,217,A la carte,6.271,2133,1989,30,2,4,,Party Game,Action Point Allowance System,2,6,4,1: Need crib
1086,6050,Duel of Ages Set 1: Worldspanner,6.271,1606,2003,120,2,16,,Fighting,Dice Rolling,9,10,4,4: Unplayable
1087,17484,Silent War,6.271,494,2005,120,1,2,,Wargame,Chit-Pull System,1,14,1,2: Possible
1088,124969,Dungeon Command: Curse of Undeath,6.27,401,2012,90,1,2,,Card Game,Action Point Allowance System,5,10,2,3: Too much
1089,3202,RAF,6.27,484,1986,180,1,1,,Wargame,Campaign / Battle Card Driven,0,12,1,2: Possible
1090,19854,Federation Commander: Klingon Border,6.269,473,2005,60,2,8,,Science Fiction,Action Point Allowance System,17,12,2,3: Too much
1091,21654,Iliad,6.269,1640,2006,45,2,6,,Card Game,Hand Management,1,10,4,1: Need crib
1092,949,Twixt,6.268,1771,1962,30,2,4,Alex Randolph,Abstract Strategy,Route/Network Building,0,8,2,1: Need crib
1093,41490,Phantom Leader,6.268,382,2010,30,1,1,Dan Verssen,Wargame,Campaign / Battle Card Driven,0,12,1,3: Too much
1094,25951,The Castle of the Devil,6.268,1917,2010,30,4,8,,Card Game,Hand Management,0,10,6,3: Too much
1095,144415,Nauticus,6.268,602,2013,90,2,4,Wolfgang Kramer,,Set Collection,0,10,4,1: Need crib
1096,90305,Cargo Noir,6.267,1859,2011,60,2,5,,Economic,Auction/Bidding,0,10,3,2: Possible
1097,144270,Relic Runners,6.267,1051,2013,60,2,5,,,Point to Point Movement,0,8,4,2: Possible
1098,1621,Mutant Chronicles: Siege of the Citadel,6.266,814,1993,120,2,5,,Science Fiction,Action Point Allowance System,0,10,5,3: Too much
1099,244,Circus Maximus,6.266,1310,1979,120,2,8,,Fighting,Action / Movement Programming,0,12,8,1: Need crib
1100,103686,Mundus Novus,6.266,1037,2011,45,2,6,Bruno Cathala,Card Game,Card Drafting,2,8,4,1: Need crib
1101,36400,The Guns of Gettysburg,6.265,298,2013,180,2,4,,Wargame,Action Point Allowance System,0,14,2,1: Need crib
1102,43307,Baltimore & Ohio,6.264,428,2009,120,3,6,,Economic,Route/Network Building,5,16,4,1: Need crib
1103,16,MarraCash,6.264,813,1996,60,3,4,,Economic,Auction/Bidding,0,10,4,1: Need crib
1104,127127,The Lord of the Rings: The Fellowship of the Ring Deck-Building Game,6.263,664,2013,30,2,5,,Card Game,Deck / Pool Building,2,10,3,3: Too much
1105,19679,Hordes,6.263,396,2006,60,2,8,,Fantasy,Variable Player Powers,3,,2,4: Unplayable
1106,805,Buffy the Vampire Slayer: The Game,6.263,1381,2000,90,2,5,,,Partnerships,0,10,5,4: Unplayable
1107,23604,The World Cup Game,6.262,613,2006,180,3,16,,,Tile Placement,6,8,6,2: Possible
1108,111,RheinlÃ_nder,6.262,1304,1999,60,3,5,Reiner Knizia,,Area Control / Area Influence,0,8,4,1: Need crib
1109,526,Abalone,6.261,3726,1987,30,2,2,,Abstract Strategy,Grid Movement,1,8,2,1: Need crib
1110,17240,That's Life!,6.261,2107,2005,30,2,6,Wolfgang Kramer,,Dice Rolling,2,8,4,1: Need crib
1111,1262,Axis & Allies: Pacific,6.26,1575,2001,240,2,3,,Wargame,Area Movement,0,12,2,1: Need crib
1112,107190,Flash Duel: Second Edition,6.259,601,2011,5,1,5,,Card Game,Hand Management,0,8,2,2: Possible
1113,337,Circus Flohcati,6.259,1522,1998,15,3,5,Reiner Knizia,Card Game,Card Drafting,0,6,4,1: Need crib
1114,109291,Sails of Glory,6.258,362,2013,45,2,4,,Wargame,Player Elimination,28,12,2,1: Need crib
1115,140535,KoryÅè,6.258,731,2013,15,2,4,,Card Game,Set Collection,0,10,3,1: Need crib
1116,93724,Black Gold,6.257,646,2011,120,2,5,,Economic,Auction/Bidding,0,12,4,1: Need crib
1117,23730,Gheos,6.257,1584,2006,45,2,4,,,Area Control / Area Influence,0,10,3,1: Need crib
1118,11949,Shifting Sands,6.256,484,2006,240,2,2,,Wargame,Campaign / Battle Card Driven,0,14,2,4: Unplayable
1119,5406,New England,6.256,1688,2003,90,3,4,Alan R. Moon,Economic,Auction/Bidding,0,12,4,1: Need crib
1120,101,Detroit-Cleveland Grand Prix,6.255,929,1996,90,2,6,Wolfgang Kramer,Card Game,Auction/Bidding,0,8,6,1: Need crib
1121,14083,Fire in the Sky: The Great Pacific War 1941-1945,6.254,424,2005,300,2,2,,Wargame,Dice Rolling,0,14,2,3: Too much
1122,39336,MÃ©gawatts,6.254,270,2008,120,2,6,Friedemann Friese,Economic,Auction/Bidding,21,12,5,1: Need crib
1123,4249,Trias,6.253,1774,2002,45,2,5,,,Action Point Allowance System,0,10,3,1: Need crib
1124,71655,Wok Star,6.253,608,2010,60,1,4,,,Co-operative Play,1,8,4,3: Too much
1125,3409,The Napoleonic Wars,6.251,653,2002,240,2,5,,Wargame,Campaign / Battle Card Driven,1,10,5,4: Unplayable
1126,66849,Safranito,6.251,689,2010,30,2,4,,Economic,Set Collection,0,8,4,1: Need crib
1127,144553,The Builders: Middle Ages,6.251,1175,2013,30,2,4,,,Action Point Allowance System,1,10,2,1: Need crib
1128,883,Ivanhoe,6.249,1454,2000,45,2,5,Reiner Knizia,Card Game,Auction/Bidding,0,10,4,3: Too much
1129,7865,10 Days in Africa,6.249,1576,2003,25,2,4,Alan R. Moon,,Hand Management,0,8,2,1: Need crib
1130,5867,10 Days in Europe,6.249,1406,2003,30,2,4,Alan R. Moon,,Hand Management,0,8,2,1: Need crib
1131,154182,Helios,6.249,586,2014,60,2,4,,,Tile Placement,1,10,3,1: Need crib
1132,40425,Maori,6.248,1184,2009,30,2,5,,,Tile Placement,0,8,2,1: Need crib
1133,18866,Shear Panic,6.247,3064,2005,45,2,4,,,Dice Rolling,0,10,4,1: Need crib
1134,119012,The Capitals,6.247,521,2013,120,2,5,,Economic,Action Point Allowance System,0,14,3,1: Need crib
1135,97915,Bios: Megafauna,6.246,553,2011,120,1,4,,,Card Drafting,1,14,4,2: Possible
1136,3041,Panzergruppe Guderian,6.245,497,1976,120,2,2,Jim Dunnigan,Wargame,Dice Rolling,0,12,2,2: Possible
1137,5622,Pacific War,6.245,409,1985,360,2,2,Mark Herman,Wargame,Dice Rolling,0,16,2,3: Too much
1138,16216,Carcassonne: The Discovery,6.245,1721,2005,30,2,5,,,Tile Placement,0,8,3,1: Need crib
1139,1042,Dragon's Gold,6.244,2055,2001,45,3,6,Bruno Faidutti,Card Game,Hand Management,0,10,6,3: Too much
1140,124052,Cinque Terre,6.244,581,2013,60,2,5,,,Pick-up and Deliver,0,8,2,1: Need crib
1141,6613,"Downtown: Air War Over Hanoi, 1965-1972 ",6.244,344,2004,240,2,2,,Wargame,Chit-Pull System,1,14,2,4: Unplayable
1142,16366,Funny Friends,6.243,1951,2005,60,2,6,Friedemann Friese,Card Game,Auction/Bidding,0,16,5,3: Too much
1143,559,Metro,6.242,4095,1997,45,2,6,,,Route/Network Building,0,8,2,1: Need crib
1144,35572,Strozzi,6.242,885,2008,60,3,6,Reiner Knizia,,Commodity Speculation,0,10,5,1: Need crib
1145,8170,Return of the Heroes,6.241,1853,2003,90,1,4,,Fantasy,Dice Rolling,1,8,3,3: Too much
1146,256,Mississippi Queen,6.241,2906,1997,45,3,5,,,Grid Movement,1,8,5,1: Need crib
1147,37301,Decktet,6.24,348,2008,30,0,0,,Card Game,,0,6,0+,1: Need crib
1148,1589,Star Fleet Battles,6.24,1062,1979,180,2,2,,Science Fiction,Hex-and-Counter,19,14,2,3: Too much
1149,137330,Cube Quest,6.24,548,2013,15,2,2,,,Pattern Building,0,5,2,1: Need crib
1150,17405,1846,6.24,265,2005,240,3,5,,Economic,Route/Network Building,0,12,4,2: Possible
1151,32116,Airships,6.24,2206,2007,45,2,4,,Dice,Dice Rolling,0,8,3,1: Need crib
1152,8124,Industria,6.239,1603,2003,60,3,4,Michael Schacht,Economic,Auction/Bidding,0,10,4,2: Possible
1153,299,De Bellis Antiquitatis,6.238,519,1990,60,2,6,,Wargame,Action Point Allowance System,2,12,2,1: Need crib
1154,147,Crude: The Oil Game,6.238,749,1974,120,2,4,,Economic,Commodity Speculation,0,8,4,2: Possible
1155,58,Kings & Things,6.238,1370,1986,120,2,4,,Fantasy,Area Control / Area Influence,0,10,4,2: Possible
1156,759,Turning Point: Stalingrad,6.237,556,1989,180,2,2,,Wargame,,1,16,2,2: Possible
1157,78954,Mousquetaires du Roy,6.237,605,2010,75,1,5,,,Co-operative Play,1,10,5,3: Too much
1158,3234,Dschunke,6.237,923,2002,60,3,4,Michael Schacht,Economic,Auction/Bidding,0,10,4,2: Possible
1159,3348,Santa Fe Rails,6.236,764,2001,60,2,5,Alan R. Moon,,Card Drafting,0,8,4,1: Need crib
1160,692,Wizard Kings,6.236,1019,2000,150,2,7,,Fantasy,Dice Rolling,2,10,2,2: Possible
1161,95105,1st & Goal,6.235,795,2011,60,2,4,,Card Game,Dice Rolling,7,8,2,2: Possible
1162,37165,"Warhammer 40,000 (fifth edition) ",6.235,867,2008,60,2,12,,Fighting,Dice Rolling,9,12,2,2: Possible
1163,13883,Jenseits von Theben,6.235,499,2004,75,2,4,,,,0,12,3,1: Need crib
1164,35342,Hold the Line,6.234,394,2008,60,2,2,,Wargame,Action Point Allowance System,3,10,2,1: Need crib
1165,71074,Expedition: Northwest Passage,6.234,558,2010,60,2,4,,,Action Point Allowance System,0,12,4,1: Need crib
1166,1270,Star Wars Customizable Card Game,6.233,1733,1995,60,2,2,,Card Game,Area Control / Area Influence,0,12,2,4: Unplayable
1167,23686,GiftTRAP,6.232,1932,2006,60,3,8,,Party Game,Simultaneous Action Selection,1,8,5,2: Possible
1168,18500,Sator Arepo Tenet Opera Rotas,6.232,684,2008,60,2,4,,Fantasy,Action Point Allowance System,0,8,4,1: Need crib
1169,27225,Bananagrams,6.231,3536,2006,15,1,8,,,Tile Placement,0,8,4,1: Need crib
1170,166384,Spyfall,6.231,427,2014,15,3,8,,Card Game,Role Playing,2,8,6,2: Possible
1171,5205,G.E.V.,6.229,725,1978,75,2,2,Steve Jackson (I),Fighting,Hex-and-Counter,5,12,2,1: Need crib
1172,139033,Archon: Glory & Machination,6.228,447,2013,90,2,4,,Economic,Deck / Pool Building,2,10,4,1: Need crib
1173,4204,Tunisia,6.228,319,1995,360,2,2,Dean Essig,Wargame,Dice Rolling,0,12,2,1: Need crib
1174,1770,Aliens,6.228,561,1989,90,1,9,,Fighting,Co-operative Play,1,8,3,2: Possible
1175,35488,The Name of the Rose,6.227,980,2008,75,2,5,,,Secret Unit Deployment,0,10,4,2: Possible
1176,124968,Dungeon Command: Tyranny of Goblins,6.226,407,2012,90,2,4,,Card Game,Action Point Allowance System,5,12,2,3: Too much
1177,37231,Comuni,6.225,890,2008,90,2,5,,,Auction/Bidding,0,12,4,1: Need crib
1178,382,Heimlich & Co.,6.225,2212,1984,30,2,7,Wolfgang Kramer,,Roll / Spin and Move,0,6,5,1: Need crib
1179,20609,Asia Engulfed,6.224,350,2007,480,2,2,,Wargame,Area Control / Area Influence,0,14,2,2: Possible
1180,112686,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,6.224,1231,2012,30,2,6,,Fantasy,Dice Rolling,1,12,4,3: Too much
1181,157001,Trains: Rising Sun,6.224,282,2014,45,2,4,,Card Game,Deck / Pool Building,3,8,3,2: Possible
1182,144864,Ascension: Darkness Unleashed,6.223,303,2013,30,1,2,,Card Game,Card Drafting,15,10,2,4: Unplayable
1183,433,Shark,6.223,1069,1987,90,2,6,,Economic,Commodity Speculation,0,10,5,1: Need crib
1184,6887,Hearts,6.222,2502,,30,3,7,(Uncredited),Card Game,Trick-taking,0,10,4,1: Need crib
1185,165401,Wir sind das Volk!,6.222,236,2014,150,2,2,,,Campaign / Battle Card Driven,0,14,2,2: Possible
1186,2981,Breaking Away,6.222,385,1991,60,2,9,,,,0,10,6,1: Need crib
1187,34615,New World: A Carcassonne Game,6.221,1625,2008,45,2,5,,,Area Control / Area Influence,0,10,3,1: Need crib
1188,24070,Afrika (second edition),6.221,337,2006,360,2,2,Dean Essig,Wargame,Dice Rolling,0,12,2,1: Need crib
1189,139976,Cthulhu Wars,6.221,272,2014,90,2,4,,,Action Point Allowance System,20,12,4,3: Too much
1190,28829,Field Commander: Rommel,6.22,636,2008,120,1,1,Dan Verssen,Wargame,Area Movement,0,14,1,3: Too much
1191,15954,Conquest of Paradise,6.22,840,2007,90,2,4,,,Area Control / Area Influence,1,10,4,2: Possible
1192,136056,Asante,6.22,417,2013,40,2,2,,Card Game,Action Point Allowance System,0,8,2,3: Too much
1193,632,Cloud 9,6.219,1850,1999,30,3,6,,Card Game,Betting/Wagering,0,6,6,1: Need crib
1194,56885,The Werewolves of Miller's Hollow: The Village,6.219,482,2009,30,8,18,,Party Game,Partnerships,2,8,17,1: Need crib
1195,162,The Awful Green Things From Outer Space,6.219,2063,1979,90,2,2,,Science Fiction,Area Movement,2,8,2,2: Possible
1196,24762,Medici vs Strozzi,6.218,1465,2006,30,2,2,Reiner Knizia,Economic,Auction/Bidding,0,10,2,1: Need crib
1197,24920,Storm Over Stalingrad,6.217,473,2006,180,2,2,,Wargame,,0,10,2,3: Too much
1198,103649,The City,6.217,1150,2011,20,2,5,,Card Game,Hand Management,0,8,3,3: Too much
1199,37400,Sushizock im Gockelwok,6.217,1676,2008,20,2,5,Reiner Knizia,Dice,Dice Rolling,0,8,4,1: Need crib
1200,10819,Navia Dratp,6.216,502,2004,30,2,2,,Abstract Strategy,Grid Movement,2,8,2,2: Possible
1201,19301,Mesopotamia,6.216,1378,2005,45,2,4,,,Action Point Allowance System,1,10,4,2: Possible
1202,31722,Steam over Holland,6.215,385,2007,180,2,5,,Economic,Auction/Bidding,0,14,3,1: Need crib
1203,22398,10 Days in Asia,6.214,910,2007,25,2,4,Alan R. Moon,,Hand Management,0,8,2,1: Need crib
1204,118000,Africana,6.214,766,2012,60,2,4,Michael Schacht,,Card Drafting,1,8,3,1: Need crib
1205,4491,Cave Troll,6.214,2561,2002,45,2,4,,Fantasy,Action Point Allowance System,0,8,4,2: Possible
1206,22551,Risk: Star Wars Original Trilogy Edition,6.214,706,2006,120,2,5,,Science Fiction,Area Control / Area Influence,0,8,3,2: Possible
1207,3267,Pizarro & Co.,6.214,1196,2002,45,3,6,,,Auction/Bidding,0,12,6,1: Need crib
1208,41429,Band of Brothers: Screaming Eagles,6.213,282,2011,90,2,2,,Wargame,Dice Rolling,1,10,2,1: Need crib
1209,52328,Malifaux,6.213,329,2009,0,2,2,,,Hand Management,44,14,2,4: Unplayable
1210,634,River Dragons,6.213,1958,2000,30,2,6,,Abstract Strategy,Action / Movement Programming,0,6,4,1: Need crib
1211,68228,Railways of the World: The Card Game,6.212,752,2010,30,2,4,,Card Game,Card Drafting,1,6,3,1: Need crib
1212,27356,Portobello Market,6.212,2005,2007,35,2,4,,Abstract Strategy,Area Movement,0,8,4,1: Need crib
1213,1219,The aMAZEing Labyrinth,6.211,5006,1986,20,1,4,,Children's Game,Modular Board,0,6,4,1: Need crib
1214,38872,Jet Set,6.211,771,2008,90,2,6,,Economic,Point to Point Movement,2,12,4,1: Need crib
1215,33003,The Caucasus Campaign,6.211,319,2009,360,2,2,,Wargame,Dice Rolling,0,14,2,1: Need crib
