Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
70,20551,Shogun,7.451,8650,2006,150,3,5,,Economic,Action / Movement Programming,1,12,5,1: Need crib
71,38453,Space Alert,7.45,9170,2008,30,1,5,,Science Fiction,Action / Movement Programming,2,12,4,3: Too much
72,22545,Age of Empires III: The Age of Discovery,7.449,7661,2007,120,2,5,,,Area Control / Area Influence,2,12,4,2: Possible
73,39463,Cosmic Encounter,7.444,12298,2008,60,3,5,,Science Fiction,Hand Management,5,10,5,4: Unplayable
74,104006,Village,7.444,8564,2011,75,2,4,,,Set Collection,4,12,4,1: Need crib
75,31627,Ticket to Ride: Nordic Countries,7.443,5736,2007,45,2,3,Alan R. Moon,,Card Drafting,5,8,3,1: Need crib
76,148228,Splendor,7.429,8164,2014,30,2,4,,Card Game,Set Collection,0,8,3,1: Need crib
77,31481,Galaxy Trucker,7.421,15082,2007,60,2,4,,Science Fiction,Dice Rolling,6,10,4,2: Possible
78,9209,Ticket to Ride,7.42,34315,2004,45,2,5,Alan R. Moon,,Hand Management,49,8,4,1: Need crib
79,41114,The Resistance,7.419,16119,2009,30,5,10,,Card Game,Partnerships,7,12,7,1: Need crib
80,77130,Sid Meier's Civilization: The Board Game,7.412,8753,2010,180,2,4,,,Grid Movement,3,14,4,4: Unplayable
81,157354,Five Tribes,7.412,3683,2014,60,2,4,Bruno Cathala,,Area Control / Area Influence,1,12,4,1: Need crib
82,133038,Pathfinder Adventure Card Game: Rise of the Runelords â€“ Base Set,7.408,6176,2013,90,1,4,,Card Game,Co-operative Play,24,10,4,4: Unplayable
83,10630,Memoir '44,7.407,15540,2004,60,2,2,,Wargame,Area Control / Area Influence,24,8,2,3: Too much
84,19857,Glory to Rome,7.397,8946,2005,60,2,5,,Card Game,Card Drafting,2,12,4,4: Unplayable
85,1,Die Macher,7.395,4123,1986,240,3,5,,Economic,Area Control / Area Influence,0,14,5,1: Need crib
86,97207,Dungeon Petz,7.389,5221,2011,90,2,4,,Fantasy,Hand Management,3,12,4,1: Need crib
87,12,Ra,7.389,13238,1999,60,2,5,Reiner Knizia,,Auction/Bidding,0,10,3,1: Need crib
88,54138,Imperial 2030,7.388,3068,2009,120,2,6,,Economic,Area Control / Area Influence,0,14,4,1: Need crib
89,15985,Blood Bowl: Living Rulebook,7.382,2556,2004,120,2,2,,Fantasy,Dice Rolling,1,12,2,3: Too much
90,48726,Alien Frontiers,7.38,8391,2010,90,2,4,,Dice,Area Control / Area Influence,16,10,3,3: Too much
91,7854,YINSH,7.38,4272,2003,30,2,2,,Abstract Strategy,Grid Movement,0,8,2,1: Need crib
92,127060,Bora Bora,7.378,4014,2013,90,2,4,,Dice,Card Drafting,1,14,4,1: Need crib
93,66589,Navegador,7.378,4901,2010,90,2,5,,Economic,Area Movement,1,12,4,1: Need crib
94,129622,Love Letter,7.377,19555,2012,20,2,4,,Card Game,Hand Management,0,8,4,2: Possible
95,36932,Claustrophobia,7.374,4254,2009,45,2,2,,Fantasy,Dice Rolling,2,12,2,3: Too much
96,155426,Castles of Mad King Ludwig,7.366,2321,2014,90,1,4,,,Tile Placement,0,10,4,2: Possible
97,124708,Mice and Mystics,7.366,5708,2012,120,1,4,,Dice,Area Movement,8,8,4,4: Unplayable
98,40692,Small World,7.363,30421,2009,80,2,5,,Fantasy,Area Control / Area Influence,13,8,4,2: Possible
99,70323,King of Tokyo,7.362,21446,2011,30,2,6,,Dice,Card Drafting,5,6,4,3: Too much
100,27708,1960: The Making of the President,7.361,6221,2007,90,2,2,,,Area Control / Area Influence,0,14,2,4: Unplayable
101,54043,Jaipur,7.36,8424,2009,30,2,2,,Card Game,Hand Management,0,8,2,1: Need crib
102,92828,Dixit Odyssey,7.359,6172,2011,30,3,12,,Party Game,Partnerships,15,8,6,1: Need crib
103,129437,Legendary: A Marvel Deck Building Game,7.357,5997,2012,45,1,5,,Card Game,Co-operative Play,4,10,3,3: Too much
104,421,1830: Railways & Robber Barons,7.357,2754,1986,360,2,7,,Economic,Auction/Bidding,8,14,5,1: Need crib
105,2511,Sherlock Holmes Consulting Detective,7.349,3062,1981,60,1,8,,,Co-operative Play,9,12,2,
106,45315,Dungeon Lords,7.347,8954,2009,90,2,4,,Economic,Action / Movement Programming,5,12,4,3: Too much
107,822,Carcassonne,7.346,49423,2000,45,2,5,,,Area Control / Area Influence,44,8,2,1: Need crib
108,54998,Cyclades,7.346,8246,2009,90,2,5,Bruno Cathala,Fighting,Area Control / Area Influence,5,10,5,1: Need crib
109,105134,Risk Legacy,7.343,3577,2011,60,3,5,,Dice,Area Movement,1,10,5,3: Too much
110,119890,Agricola:  All Creatures Big and Small,7.34,5138,2012,30,2,2,Uwe Rosenberg,,Tile Placement,2,10,2,2: Possible
111,39856,Dixit,7.335,19881,2008,30,3,6,,Card Game,Simultaneous Action Selection,16,8,6,1: Need crib
112,108745,Seasons,7.331,8484,2012,60,2,4,,Card Game,Card Drafting,8,12,2,4: Unplayable
113,243,Advanced Squad Leader,7.331,2571,1985,12000,2,2,,Wargame,Dice Rolling,374,16,2,4: Unplayable
114,154203,Imperial Settlers,7.331,2662,2014,90,1,4,,Card Game,Card Drafting,1,12,2,3: Too much
115,73171,Earth Reborn,7.328,2492,2010,180,2,4,,Fighting,Action Point Allowance System,0,12,2,1: Need crib
116,54625,Space Hulk (third edition),7.326,5070,2009,60,2,2,,Fighting,Action Point Allowance System,0,12,2,1: Need crib
117,33160,Endeavor,7.311,7172,2009,90,3,5,,,Area Control / Area Influence,0,12,5,1: Need crib
118,102652,Sentinels of the Multiverse,7.311,7086,2011,60,1,5,,Card Game,Co-operative Play,32,10,4,4: Unplayable
119,121,Dune,7.31,3979,1979,240,2,6,,Fighting,Area Control / Area Influence,3,14,6,3: Too much
120,3,Samurai,7.308,10334,1998,45,2,4,Reiner Knizia,,Area Control / Area Influence,0,10,3,1: Need crib
121,463,Magic: The Gathering,7.302,17362,1993,20,2,2,,Card Game,Deck / Pool Building,3,12,2,
122,59959,Letters from Whitechapel,7.296,5024,2011,120,2,6,,,Memory,0,12,2,1: Need crib
123,760,Battle Line,7.293,9532,2000,30,2,2,Reiner Knizia,Card Game,Hand Management,0,8,2,2: Possible
124,15987,Arkham Horror,7.289,24521,2005,240,1,8,,Fighting,Co-operative Play,20,14,4,4: Unplayable
125,71,Civilization,7.286,5533,1980,360,2,7,,Economic,Area Movement,6,12,7,2: Possible
