Age,Weight,Height,BattingAvg,OnBasePct,HomeRunRate,SlugRate,RBIRate,WalkRate,StrikeRate,StolenBases,HitByPitch,PutOutRate,AssistRate,ErrorRate,Salary
30.08333333,183,72,0.2787456,0.3623693,0.0139372,0.3972125,0.0940766,0.0836236,0.21777,0.0684931,0.0273972,1.4791666,2.9027777,0.0625,2228000
26.66666667,195,75,0.1454545,0.1636363,0,0.1636363,0.0363636,0.0181818,0.5272727,0,0,0.5333333,0.7,0.1,2366833.333
38.66666667,220,76,0.1666666,0.2083333,0,0.1805555,0.0972222,0.0416666,0.3333333,0,0,0.3636363,0.7272727,0,5150050
34.5,220,73,0.2802303,0.3723608,0.0268714,0.4318618,0.159309,0.0921305,0.149712,0.0357142,0.0142857,5.1973155,0.4687169,0.0411117,2159583.333
25.08333333,180,71,0.1818181,0.2727272,0,0.2363636,0.0727272,0.090909,0.3454545,0,0,2.25,0,0,252500
21.16666667,175,75,0.117647,0.1470588,0,0.117647,0.0294117,0.0294117,0.2941176,0,0,0.6875,1.3125,0,300000
25.83333333,180,72,0.2641975,0.3802469,0.0246913,0.3802469,0.1160493,0.1160493,0.1012345,0.0217391,0.1304347,1.8913043,2.4782608,0.057971,705000
29.83333333,190,74,0.1969696,0.2424242,0.0151515,0.2878787,0.090909,0.0454545,0.2878787,0.037037,0.074074,8.076923,0.3076923,0.076923,1471954.636
21.16666667,175,72,0.2272727,0.2727272,0.0757575,0.5,0.1212121,0.0454545,0.3030303,0,0.0277777,4.2083333,0.1666666,0.0416666,303000
30.66666667,180,72,0.2410147,0.3657505,0.0042283,0.3150105,0.0486257,0.1247357,0.1860465,0.1214285,0.0357142,1.2790697,2.7674418,0.0697674,1296666.833
19.66666667,219,74,0.2955271,0.3514376,0.0175718,0.4504792,0.0878594,0.0559105,0.1293929,0.3881578,0.0065789,2.3896174,0.0204918,0.020765,310000
22.33333333,195,74,0.2387755,0.3081632,0.0428571,0.4183673,0.1408163,0.0693877,0.1653061,0.0069444,0.0694444,0.6319444,1.6875,0.0833333,327500
21.41666667,170,71,0.1645569,0.1645569,0,0.2151898,0.0253164,0,0.2531645,0.0384615,0,0.9158248,1.4191919,0.0555555,309000
21.91666667,185,72,0.2973523,0.370672,0.0305498,0.4460285,0.1446028,0.0733197,0.1405295,0.1438848,0,2.18502,0.0429844,0.0212765,319400
20.08333333,195,75,0.2385321,0.3449541,0.0403669,0.425688,0.1174311,0.106422,0.2587155,0.0463576,0.0596026,1.602649,3.3443708,0.1258278,300500
24.66666667,185,71,0.1509433,0.1886792,0.0377358,0.3018867,0.1320754,0.0377358,0.245283,0.0363636,0.0181818,0.8053535,0,0.0277777,301400
28.91666667,184,72,0.2921914,0.3350125,0.0176322,0.4307304,0.138539,0.0428211,0.0806045,0.007874,0.023622,1.2211538,2.576923,0.076923,1132142.857
27.08333333,175,72,0.2244897,0.3333333,0.0204081,0.340136,0.1904761,0.1088435,0.292517,0,0.0416666,1.3461538,0.0384615,0,265625
26.33333333,190,72,0.2422018,0.3816513,0.0385321,0.4330275,0.1431192,0.1394495,0.2146788,0.0718954,0.0130718,2.0662251,0.0662251,0.0662251,1571250
21.25,202,74,0.2625368,0.3716814,0.0353982,0.439528,0.1327433,0.1091445,0.218289,0.0434782,0.0260869,0.9462209,1.7701065,0.1126453,305000
27.91666667,175,72,0.3043478,0.426731,0.0322061,0.4766505,0.1513687,0.1223832,0.1143317,0.1266666,0.0133333,2.3581081,0.0337837,0.0337837,3693900
28.16666667,201,73,0.2266666,0.36,0.0266666,0.4133333,0.1066666,0.1333333,0.28,0,0.0333333,7.1428571,0.7142857,0.1428571,697500
28,185,72,0.2771929,0.4385964,0.0245614,0.4175438,0.1192982,0.1614035,0.1894736,0.1666666,0,1.5117152,0.0200412,0.0138888,260833.3333
23.25,215,76,0.1610795,0.234659,0.01875,0.2454545,0.080303,0.0735795,0.2613636,0.0092592,0.0092592,5.6394878,0.3389487,0.0283018,637000
25.75,190,76,0.015625,0.03125,0,0.015625,0,0.015625,0.671875,0,0,0.4411764,0.7647058,0.0294117,336666.6667
22.83333333,250,77,0.1428571,0.2571428,0,0.1714285,0.0857142,0.1142857,0.2857142,0.08,0,1.1666666,0.0833333,0.0833333,300000
22.5,185,76,0.0344827,0.0344827,0.0344827,0.137931,0.0344827,0,0.5862068,0,0,0.5263157,0.8421052,0,308250
28.5,220,75,0.2685589,0.4192139,0.0698689,0.5349344,0.2161572,0.150655,0.2510917,0,0.1015625,8.675,0.7333333,0.0416666,8629900
28.58333333,165,71,0.2923076,0.4076923,0.0153846,0.3846153,0.1,0.1153846,0.2230769,0.0238095,0,1.2564102,3.2820512,0.2051282,222666.6667
27.83333333,180,70,0.2416918,0.3836858,0.0513595,0.4410876,0.18429,0.1419939,0.265861,0.0841121,0.0467289,1.8095238,0,0.0238095,500000
25.16666667,195,73,0.2394822,0.3139158,0.0097087,0.3203883,0.1003236,0.0744336,0.171521,0.0084745,0.0254237,0.6420454,1.6931818,0.1603534,429166.6667
29.08333333,190,72,0.1666666,0.3333333,0,0.2777777,0,0.1666666,0.1666666,0,0,0.0657894,0.1995613,0.0131578,1598166.667
29,165,70,0.2230215,0.3021582,0.0071942,0.3021582,0.0791366,0.0791366,0.0719424,0.0363636,0.0727272,6,0.4318181,0.0681818,1057750
31.41666667,205,74,0.1363636,0.2727272,0,0.2272727,0.090909,0.1363636,0.1363636,0,0,3.3333333,0.5,0,472142.8571
24.25,190,74,0.0666666,0.1333333,0,0.0666666,0,0.0666666,0.4666666,0,0,0.25,1,0,225000
25.91666667,195,73,0.3050193,0.5328185,0.0598455,0.569498,0.1795366,0.2277992,0.2239382,0.0827586,0.0344827,2.0072463,0.0869565,0.0217391,2881948
21.91666667,240,78,0.265845,0.4559859,0.0809859,0.5686619,0.1795774,0.1901408,0.3433098,0.037267,0.0310559,1.6025641,0.0641025,0.051282,365000
29.91666667,170,68,0.2823779,0.403397,0.0360934,0.4840764,0.1380042,0.1210191,0.1273885,0.0833333,0.05,2.0508474,2.6694915,0.1355932,3850400
25.66666667,188,70,0.2317073,0.2804878,0.0243902,0.402439,0.0487804,0.0487804,0.2804878,0.0754716,0,0.2727272,1.090909,0.3636363,252500
26.08333333,210,76,0.2650375,0.3571428,0.043233,0.4642857,0.1503759,0.0921052,0.2406015,0.029197,0.029197,1.9253731,0.022388,0.0149253,4152666.778
31.91666667,185,71,0.2376681,0.3452914,0.0403587,0.4573991,0.1928251,0.1076233,0.1614349,0.0408163,0.0816326,2.7103703,1.3881481,0.0992592,2042500
23.91666667,190,74,0.203125,0.296875,0,0.3125,0.125,0.09375,0.25,0.0555555,0.0277777,0.3636363,0.6969696,0.060606,697500
25.08333333,170,66,0.2756183,0.3498233,0.0035335,0.3321554,0.0618374,0.0742049,0.0865724,0.112676,0.0915492,1.4347826,2.2391304,0.0434782,763750
30.5,190,73,0.3012048,0.504016,0.0843373,0.6425702,0.2228915,0.2028112,0.3012048,0.0522875,0.0326797,2.1506849,0.0753424,0.0273972,3800194.333
24.25,160,74,0.2360339,0.3215663,0.0294367,0.3989583,0.125733,0.0855324,0.1849151,0.03785,0.053868,1.9805194,0.0507305,0.0468073,1956142.857
25.66666667,210,74,0.2749391,0.3625304,0.0243309,0.4111922,0.1605839,0.0875912,0.1119221,0.0458015,0,0.6779661,1.3898305,0.1101694,293333.3333
26.5,195,74,0.2949494,0.3696969,0.0141414,0.4,0.1393939,0.0747474,0.1494949,0.128,0.032,7.9516129,0.532258,0.032258,3590625
22.75,180,73,0.2105263,0.3618421,0.0065789,0.3092105,0.0789473,0.1513157,0.2763157,0.0217391,0.0217391,2.1681547,0.2589285,0.03125,253850
27.16666667,185,74,0.2361111,0.25,0,0.3055555,0.0277777,0.0138888,0.1527777,0,0,0.4117647,0.7941176,0.0294117,1885550
24.5,195,71,0.3138528,0.3982683,0.0194805,0.4502164,0.1645021,0.0844155,0.1428571,0,0.0820895,5.8345864,0.330827,0.0676691,312500
23.16666667,156,72,0.2734375,0.3177083,0.0208333,0.3854166,0.0807291,0.0442708,0.1458333,0.125,0.0865384,1.3838383,2.8181818,0.1010101,368375
29.5,190,72,0.2591011,0.3165712,0.0241077,0.4000153,0.1232999,0.05747,0.1592186,0.0116279,0.122242,1.9530074,0.06203,0.0883458,3121694.333
37.08333333,195,73,0.1904761,0.2380952,0,0.1904761,0.047619,0.047619,0.4285714,0,0,0.175,0.6,0,2106269.308
25.33333333,180,73,0.2763419,0.3220675,0.0437375,0.4850894,0.166998,0.0457256,0.168986,0.0347222,0,3.0020074,1.5555555,0.1267506,399500
26.25,189,73,0.1838005,0.3138629,0.0140186,0.2468847,0.0607476,0.1300622,0.241433,0,0.0516193,1.5384615,0,0.076923,600833.3333
22.08333333,155,69,0.2963604,0.3812824,0.0086655,0.4194107,0.1039861,0.084922,0.1629116,0.2297297,0,1.2837018,1.3370819,0.0854824,320000
35.25,180,74,0.2690726,0.3654525,0.0574831,0.4905852,0.1620844,0.0963799,0.1313206,0.0470821,0.0048076,2.3570167,0.0242718,0.0187996,3384459
33.83333333,195,73,0.2519685,0.2913385,0.047244,0.4645669,0.1259842,0.03937,0.1968503,0,0.0212765,5.5434782,0.4130434,0.0652173,1267909.167
29,230,76,0.260101,0.3787878,0.0454545,0.4621212,0.1590909,0.1186868,0.260101,0.0973451,0.0973451,1.5471698,0.0471698,0.0188679,2783625
25,205,74,0.0754716,0.0754716,0,0.0943396,0.0566037,0,0.245283,0,0,0.40625,1.125,0.0625,289000
30.41666667,185,73,0.205298,0.2649006,0.013245,0.2847682,0.0596026,0.0596026,0.2251655,0,0.037037,5.372549,0.2156862,0.0588235,1088750
22.08333333,160,73,0.095238,0.1190476,0,0.095238,0,0.0238095,0.3809523,0,0,0.1481481,0.7407407,0,294833.3333
42.66666667,165,72,0.309375,0.421875,0.01875,0.440625,0.178125,0.1125,0.2125,0.032,0.008,7.4642857,0.5714285,0.0238095,1394231.813
24.25,185,70,0.2772277,0.4099009,0.0059405,0.3683168,0.0554455,0.1326732,0.1742574,0.2587412,0.083916,1.6763974,0.7375672,0.0563146,260000
23.83333333,165,70,0.2788632,0.3818827,0.0248667,0.4138543,0.1047957,0.1030195,0.1261101,0.2027972,0.006993,1.4656488,3.1374045,0.1832061,1372000
27.75,171,70,0.2521739,0.2608695,0.0086956,0.3304347,0.0869565,0.0086956,0.1391304,0.02,0.02,1.3472727,2.3036363,0.170909,237833.3333
25.83333333,200,72,0.2232481,0.2795927,0.0409564,0.3747632,0.1406249,0.0563446,0.2047821,0.0241935,0,1.6921568,0,0.0294117,494416.6667
27.58333333,165,72,0.3087412,0.382867,0.0281468,0.4772727,0.1279137,0.0741258,0.0937062,0.0495715,0.0758873,1.5241312,2.2136421,0.1167953,5020444.444
22.08333333,165,69,0.25,0.3166666,0,0.3,0.1166666,0.0666666,0.2166666,0,0,0.5333333,1.4,0.1333333,301000
23.75,190,72,0.2515592,0.3638253,0.022869,0.4054054,0.1060291,0.1122661,0.1226611,0.0970149,0.0522388,2.0670903,0.029661,0.0169491,325600
29.08333333,200,74,0.2083333,0.3863636,0.0454545,0.3787878,0.1515151,0.1780303,0.2348484,0,0.1,7.9148936,0.2978723,0.0851063,4434471.2
23.25,200,72,0.2456647,0.3294797,0.0289017,0.3786127,0.1358381,0.083815,0.184971,0.0103092,0.0103092,4.8430735,0.5097402,0.0508657,851875
29.08333333,195,70,0.2840722,0.4302134,0.0377668,0.4745484,0.1543513,0.1461412,0.1313628,0.062893,0.0251572,2.0314465,0.0503144,0.0440251,3669033.5
22.41666667,180,68,0.3113456,0.4063324,0.0211081,0.4432717,0.126649,0.0949868,0.1846965,0.1666666,0.0882352,1.9175257,2.9793814,0.1237113,318833.3333
25.66666667,195,74,0.28125,0.375,0,0.34375,0.125,0.09375,0.15625,0,0,5.8181818,0.3636363,0,265000
24.41666667,190,70,0.261658,0.3575129,0.0492227,0.4792746,0.1554404,0.0958549,0.2590673,0.0707964,0.0530973,1.1404648,2.0269897,0.0874704,342166.5
30.66666667,170,74,0.2098765,0.2592592,0.0123456,0.265432,0.0864197,0.0493827,0.1296296,0.091954,0,1.6497252,0,0,1442500
24.66666667,245,77,0.2512077,0.4009661,0.0869565,0.5748792,0.2028985,0.1497584,0.2512077,0.0344827,0.0517241,0.5789473,1.4210526,0.1052631,3293214.286
34.25,190,73,0.2037037,0.3888888,0,0.2407407,0.1481481,0.1851851,0.1851851,0,0,0.3030303,1.4848484,0.030303,5132224.722
24.33333333,185,72,0.3205128,0.4059829,0.0299145,0.4786324,0.1880341,0.08547,0.1581196,0,0.0181818,2.6987946,0.1103895,0.0499108,302000
29.5,183,73,0.2815249,0.3636363,0.0087976,0.346041,0.1085043,0.0821114,0.1202346,0.0275229,0.0183486,3.47095,1.6534517,0.1175666,1065750
27.33333333,180,72,0.2105229,0.2698944,0.0177769,0.3507158,0.1042503,0.0593715,0.2343404,0.0185328,0.0095238,1.4643734,2.1730821,0.105651,2524488.636
23.16666667,170,72,0.231729,0.2798573,0.0409982,0.4188948,0.1408199,0.0481283,0.2245989,0.0188679,0.0251572,1.4240506,2.6898734,0.1012658,1023000
31.83333333,210,75,0.2755905,0.3464566,0.03937,0.4409448,0.1338582,0.0708661,0.1496062,0,0.030303,1.7931034,0.1034482,0.1034482,6174107.143
33.75,180,74,0.2585751,0.4379947,0.0448548,0.4934036,0.126649,0.1794195,0.1530343,0.0190476,0.0190476,1.5576923,0.0192307,0.0576923,2534285.643
