Result,Late,Month,Day,Count,Fraction
1,0,2,15,91260,0.273494745
2,1,2,15,35228,0.105573886
3,1,2,15,26190,0.078488137
4,1,2,15,13450,0.040307959
5,1,2,15,3946,0.011825666
6,1,2,15,697,0.002088821
7,1,2,15,804,0.002409487
8,1,2,15,7820,0.023435557
0,0,2,16,147209,0.441166863
1,0,2,16,91439,0.274031185
2,1,2,16,35103,0.105199277
3,1,2,16,26641,0.079839727
4,1,2,16,15119,0.045309742
5,1,2,16,5677,0.017013255
6,1,2,16,1175,0.003521327
7,1,2,16,1050,0.003146718
8,1,2,16,10268,0.030771905
0,0,2,17,152240,0.458311257
1,0,2,17,94030,0.283072829
2,1,2,17,34025,0.102430639
3,1,2,17,23443,0.070574033
4,1,2,17,12092,0.036402389
5,1,2,17,4407,0.013267063
6,1,2,17,706,0.002125379
7,1,2,17,782,0.002354174
8,1,2,17,10451,0.031462237
0,0,2,18,155465,0.465317789
1,0,2,18,93526,0.279929962
2,1,2,18,32645,0.097708804
3,1,2,18,22751,0.068095359
4,1,2,18,13206,0.039526496
5,1,2,18,5157,0.015435267
6,1,2,18,752,0.002250789
7,1,2,18,909,0.002720702
8,1,2,18,9694,0.029014831
0,0,2,19,163973,0.490226737
1,0,2,19,94858,0.28359503
2,1,2,19,32295,0.096551704
3,1,2,19,21607,0.064598008
4,1,2,19,12028,0.035959867
5,1,2,19,3387,0.010126045
6,1,2,19,386,0.001154016
7,1,2,19,676,0.002021023
8,1,2,19,5274,0.01576757
0,0,2,20,168469,0.50099176
1,0,2,20,95344,0.283533222
2,1,2,20,31601,0.0939748
3,1,2,20,20342,0.060492876
4,1,2,20,10915,0.032458939
5,1,2,20,3548,0.010551014
6,1,2,20,322,0.000957561
7,1,2,20,839,0.002495011
8,1,2,20,4891,0.014544817
0,0,2,21,155780,0.462024866
1,0,2,21,93720,0.277962321
2,1,2,21,33695,0.099935344
3,1,2,21,24657,0.073129716
4,1,2,21,14361,0.04259301
5,1,2,21,5103,0.015134888
6,1,2,21,760,0.002254069
7,1,2,21,1168,0.003464148
8,1,2,21,7924,0.023501637
0,0,2,22,149206,0.443924108
1,0,2,22,93609,0.278509522
2,1,2,22,34973,0.104053174
3,1,2,22,26412,0.078582118
4,1,2,22,15777,0.046940409
5,1,2,22,5140,0.015292749
6,1,2,22,846,0.002517056
7,1,2,22,1208,0.003594094
8,1,2,22,8936,0.026586771
0,0,2,23,156452,0.467459051
1,0,2,23,95338,0.284858046
2,1,2,23,34603,0.103389446
3,1,2,23,23476,0.070143358
4,1,2,23,12047,0.035994933
5,1,2,23,3943,0.011781192
6,1,2,23,453,0.001353507
7,1,2,23,849,0.002536706
8,1,2,23,7525,0.022483761
0,0,2,24,153149,0.459477785
1,0,2,24,95971,0.287932291
2,1,2,24,33673,0.101025769
3,1,2,24,22695,0.068089562
4,1,2,24,12557,0.037673524
5,1,2,24,4168,0.012504838
6,1,2,24,681,0.002043137
7,1,2,24,846,0.00253817
8,1,2,24,9571,0.028714924
0,0,2,25,159269,0.475387279
1,0,2,25,92711,0.276724472
2,1,2,25,31152,0.092982718
3,1,2,25,21532,0.064268871
4,1,2,25,12462,0.037196669
5,1,2,25,4599,0.013727129
6,1,2,25,803,0.0023968
7,1,2,25,956,0.002853476
8,1,2,25,11546,0.034462585
0,0,2,26,160178,0.477312617
1,0,2,26,95230,0.283774804
2,1,2,26,32685,0.097397663
3,1,2,26,22694,0.067625595
4,1,2,26,12341,0.036774807
5,1,2,26,3892,0.011597727
6,1,2,26,513,0.001528683
7,1,2,26,573,0.001707476
8,1,2,26,7477,0.022280628
0,0,2,27,168846,0.501760736
1,0,2,27,96617,0.287117356
2,1,2,27,32191,0.0956622
3,1,2,27,20677,0.061445973
4,1,2,27,9751,0.028977109
5,1,2,27,2744,0.008154362
6,1,2,27,292,0.000867738
7,1,2,27,591,0.001756278
8,1,2,27,4798,0.014258247
0,0,2,28,172150,0.510276673
1,0,2,28,95930,0.284349934
2,1,2,28,30335,0.089917182
3,1,2,28,19157,0.056784027
4,1,2,28,9870,0.02925606
5,1,2,28,2917,0.008646396
6,1,2,28,375,0.001111552
7,1,2,28,675,0.002000794
8,1,2,28,5957,0.017657381
0,0,2,29,52664,0.54299501
1,0,2,29,27505,0.283591785
2,1,2,29,8042,0.082917474
3,1,2,29,4567,0.0470883
4,1,2,29,2117,0.021827443
5,1,2,29,597,0.006155401
6,1,2,29,80,0.000824844
7,1,2,29,113,0.001165093
8,1,2,29,1303,0.013434652
0,0,3,1,169468,0.507200919
1,0,3,1,94523,0.282897966
2,1,3,1,30642,0.091708468
3,1,3,1,19489,0.058328644
4,1,3,1,9487,0.02839365
5,1,3,1,3195,0.009562318
6,1,3,1,460,0.001376734
7,1,3,1,647,0.001936407
8,1,3,1,6213,0.018594893
0,0,3,2,157909,0.469426583
1,0,3,2,94096,0.279725435
2,1,3,2,33066,0.098297497
3,1,3,2,24054,0.071506925
4,1,3,2,13226,0.03931781
5,1,3,2,4193,0.01246481
6,1,3,2,575,0.001709341
7,1,3,2,924,0.002746836
8,1,3,2,8344,0.024804764
0,0,3,3,163613,0.485996049
1,0,3,3,94488,0.280667152
2,1,3,3,32389,0.096208284
3,1,3,3,21646,0.064297278
4,1,3,3,12121,0.036004218
5,1,3,3,3702,0.010996421
6,1,3,3,438,0.001301035
7,1,3,3,804,0.002388202
8,1,3,3,7454,0.022141361
0,0,3,4,167696,0.50082577
1,0,3,4,91274,0.272590708
2,1,3,4,29567,0.088302139
3,1,3,4,20381,0.060868059
4,1,3,4,11203,0.033457871
5,1,3,4,3922,0.011713092
6,1,3,4,463,0.001382754
7,1,3,4,896,0.002675913
8,1,3,4,9437,0.028183694
0,0,3,5,166700,0.494669029
1,0,3,5,91773,0.272329099
2,1,3,5,30940,0.091811996
3,1,3,5,20909,0.062045799
4,1,3,5,10865,0.032241026
5,1,3,5,3773,0.011196078
6,1,3,5,556,0.001649886
7,1,3,5,930,0.002759701
8,1,3,5,10547,0.031297386
0,0,3,6,166899,0.494549258
1,0,3,6,90470,0.268077528
2,1,3,6,30222,0.08955277
3,1,3,6,20209,0.059882599
4,1,3,6,11915,0.03530611
5,1,3,6,4407,0.013058668
6,1,3,6,760,0.002252005
7,1,3,6,837,0.002480169
8,1,3,6,11758,0.034840893
0,0,3,7,165506,0.487250974
1,0,3,7,92687,0.272871261
2,1,3,7,32088,0.094467326
3,1,3,7,22875,0.067344181
4,1,3,7,13235,0.038963945
5,1,3,7,4195,0.012350113
6,1,3,7,408,0.001201155
7,1,3,7,688,0.002025477
8,1,3,7,7991,0.023525567
0,0,3,8,159866,0.475957402
1,0,3,8,92209,0.274527142
2,1,3,8,31147,0.092731695
3,1,3,8,22019,0.065555565
4,1,3,8,13498,0.040186613
5,1,3,8,4928,0.014671776
6,1,3,8,817,0.002432395
7,1,3,8,1190,0.0035429
8,1,3,8,10209,0.030394512
0,0,3,9,161258,0.4770608
1,0,3,9,95043,0.281172343
2,1,3,9,32235,0.095363051
3,1,3,9,21769,0.064400753
4,1,3,9,12373,0.03660391
5,1,3,9,4266,0.012620406
6,1,3,9,477,0.001411142
7,1,3,9,759,0.002245403
8,1,3,9,9844,0.029122193
0,0,3,10,169359,0.502163026
1,0,3,10,95127,0.282059189
2,1,3,10,31086,0.092172485
3,1,3,10,19357,0.057395058
4,1,3,10,10532,0.031228225
5,1,3,10,3883,0.011513407
6,1,3,10,541,0.001604108
7,1,3,10,653,0.001936197
8,1,3,10,6721,0.019928304
0,0,3,11,176475,0.526258503
1,0,3,11,92417,0.275592758
2,1,3,11,28393,0.084669543
3,1,3,11,18111,0.054008034
4,1,3,11,10203,0.030425927
5,1,3,11,3125,0.009318928
6,1,3,11,464,0.001383674
7,1,3,11,715,0.002132171
8,1,3,11,5436,0.016210462
0,0,3,12,175327,0.519596715
1,0,3,12,95274,0.282352732
2,1,3,12,29515,0.087470253
3,1,3,12,18471,0.054740405
4,1,3,12,9714,0.028788278
5,1,3,12,2627,0.007785342
6,1,3,12,386,0.001143944
7,1,3,12,677,0.002006348
8,1,3,12,5438,0.016115983
0,0,3,13,170589,0.505406959
1,0,3,13,92894,0.275218649
2,1,3,13,29528,0.087483113
3,1,3,13,18463,0.054700647
4,1,3,13,9700,0.028738357
5,1,3,13,3616,0.010713185
6,1,3,13,594,0.001759854
7,1,3,13,910,0.002696073
8,1,3,13,11234,0.033283165
0,0,3,14,167647,0.492056224
1,0,3,14,94722,0.278016008
2,1,3,14,31495,0.092440132
3,1,3,14,20508,0.060192482
4,1,3,14,11016,0.032332767
5,1,3,14,3953,0.011602345
6,1,3,14,678,0.00198998
7,1,3,14,875,0.002568189
8,1,3,14,9813,0.028801874
0,0,3,15,164834,0.489412114
1,0,3,15,96802,0.287416865
2,1,3,15,32587,0.096754751
3,1,3,15,20434,0.060671021
4,1,3,15,10873,0.032283254
5,1,3,15,3886,0.011538005
6,1,3,15,576,0.001710214
7,1,3,15,626,0.00185867
8,1,3,15,6182,0.018355107
0,0,3,16,159519,0.471704083
1,0,3,16,97420,0.288074849
2,1,3,16,33442,0.098889336
3,1,3,16,21530,0.063665074
4,1,3,16,11516,0.034053274
5,1,3,16,3747,0.011080029
6,1,3,16,555,0.001641157
7,1,3,16,753,0.002226651
8,1,3,16,9694,0.028665547
0,0,3,17,158729,0.470352745
1,0,3,17,97908,0.290125286
2,1,3,17,34227,0.10142295
3,1,3,17,22907,0.067879029
4,1,3,17,12600,0.037336873
5,1,3,17,3747,0.011103275
6,1,3,17,551,0.001632747
7,1,3,17,606,0.001795726
8,1,3,17,6193,0.01835137
0,0,3,18,154896,0.462348517
1,0,3,18,97453,0.290887111
2,1,3,18,34546,0.103116232
3,1,3,18,22572,0.067375082
4,1,3,18,11693,0.034902394
5,1,3,18,4523,0.013500687
6,1,3,18,697,0.002080473
7,1,3,18,840,0.002507313
8,1,3,18,7800,0.023282192
0,0,3,19,161876,0.479736358
1,0,3,19,95735,0.283720627
2,1,3,19,32454,0.096180804
3,1,3,19,21632,0.064108681
4,1,3,19,12628,0.037424391
5,1,3,19,5031,0.014909892
6,1,3,19,704,0.002086377
7,1,3,19,818,0.002424228
8,1,3,19,6549,0.019408642
0,0,3,20,162882,0.481895131
1,0,3,20,95385,0.282201637
2,1,3,20,32533,0.096250625
3,1,3,20,22585,0.066818934
4,1,3,20,12867,0.038067709
5,1,3,20,4094,0.012112319
6,1,3,20,461,0.001363893
7,1,3,20,656,0.001940811
8,1,3,20,6540,0.019348941
0,0,3,21,169763,0.500064805
1,0,3,21,98048,0.288816491
2,1,3,21,31391,0.092467347
3,1,3,21,19805,0.058338881
4,1,3,21,9609,0.028304888
5,1,3,21,3419,0.010071226
6,1,3,21,637,0.001876388
7,1,3,21,687,0.002023671
8,1,3,21,6123,0.018036302
0,0,3,22,173767,0.516940606
1,0,3,22,96414,0.286822651
2,1,3,22,29349,0.087310536
3,1,3,22,18465,0.054931652
4,1,3,22,9478,0.028196165
5,1,3,22,3335,0.009921314
6,1,3,22,438,0.001303009
7,1,3,22,509,0.001514227
8,1,3,22,4390,0.01305984
0,0,3,23,180837,0.536361614
1,0,3,23,96632,0.286610016
2,1,3,23,27749,0.082303392
3,1,3,23,16249,0.048194451
4,1,3,23,8298,0.024611825
5,1,3,23,2956,0.008767481
6,1,3,23,468,0.001388086
7,1,3,23,420,0.001245718
8,1,3,23,3546,0.010517418
0,0,3,24,177612,0.527260745
1,0,3,24,94608,0.280854247
2,1,3,24,28617,0.08495271
3,1,3,24,18285,0.054281032
4,1,3,24,10109,0.030009678
5,1,3,24,2783,0.008261641
6,1,3,24,391,0.001160726
7,1,3,24,614,0.001822726
8,1,3,24,3839,0.011396493
0,0,3,25,178519,0.533417994
1,0,3,25,93359,0.278958377
2,1,3,25,28535,0.085263095
3,1,3,25,17576,0.052517405
4,1,3,25,8693,0.025974841
5,1,3,25,2955,0.008829593
6,1,3,25,532,0.001589626
7,1,3,25,553,0.001652374
8,1,3,25,3948,0.011796695
0,0,3,26,180106,0.535013872
1,0,3,26,94754,0.281471492
2,1,3,26,28752,0.085409253
3,1,3,26,17420,0.05174698
4,1,3,26,8321,0.024717946
5,1,3,26,2250,0.006683737
6,1,3,26,343,0.001018899
7,1,3,26,642,0.001907093
8,1,3,26,4050,0.012030727
0,0,3,27,179115,0.531277807
1,0,3,27,95645,0.283695201
2,1,3,27,28099,0.083345198
3,1,3,27,16647,0.049377113
4,1,3,27,8718,0.025858694
5,1,3,27,3131,0.009286943
6,1,3,27,600,0.001779676
7,1,3,27,587,0.001741116
8,1,3,27,4598,0.013638251
0,0,3,28,169659,0.500104644
1,0,3,28,95301,0.280919212
2,1,3,28,30826,0.090865947
3,1,3,28,21236,0.062597458
4,1,3,28,12347,0.036395311
5,1,3,28,4264,0.012569013
6,1,3,28,458,0.001350049
7,1,3,28,636,0.00187474
8,1,3,28,4520,0.013323626
0,0,3,29,180096,0.536592488
1,0,3,29,93218,0.277741196
2,1,3,29,28764,0.085701772
3,1,3,29,18253,0.054384454
4,1,3,29,8759,0.026097268
5,1,3,29,2035,0.006063242
6,1,3,29,342,0.001018982
7,1,3,29,569,0.001695324
8,1,3,29,3593,0.010705273
0,0,3,30,178045,0.528160449
1,0,3,30,92991,0.275852556
2,1,3,30,28814,0.085475106
3,1,3,30,18622,0.055241113
4,1,3,30,9941,0.029489416
5,1,3,30,3044,0.009029854
6,1,3,30,423,0.001254806
7,1,3,30,749,0.002221866
8,1,3,30,4475,0.013274835
0,0,3,31,170644,0.506722889
1,0,3,31,92493,0.274655541
2,1,3,31,29970,0.08899513
3,1,3,31,19471,0.057818625
4,1,3,31,11698,0.034736905
5,1,3,31,5214,0.015482836
6,1,3,31,807,0.002396365
7,1,3,31,680,0.002019242
8,1,3,31,5783,0.017172467
0,0,4,1,173231,0.518250708
1,0,4,1,93021,0.278288523
2,1,4,1,29069,0.086964976
3,1,4,1,18467,0.055247247
4,1,4,1,10413,0.031152303
5,1,4,1,3881,0.011610687
6,1,4,1,481,0.001438995
7,1,4,1,654,0.001956555
8,1,4,1,5044,0.015090005
0,0,4,2,179228,0.533467473
